10:41:18.703 > Starting HX711 dual-example (Teensy + Adafruit HX711)
10:41:18.703 > Scale 1 is busy...
10:41:18.710 > Scale 2 is busy...
10:41:18.719 > Scale 1 is busy...
10:41:18.719 > Scale 2 is busy...
10:41:18.727 > Scale 1 is busy...
10:41:18.727 > Scale 2 is busy...
10:41:18.738 > Scale 1 is busy...
10:41:18.738 > Scale 2 is busy...
10:41:18.749 > Scale 1 is busy...
10:41:18.749 > Scale 2 is busy...
10:41:18.759 > Scale 1 is busy...
10:41:18.759 > Scale 2 is busy...
10:41:18.768 > Scale 1 is busy...
10:41:18.768 > Scale 2 is busy...
10:41:18.788 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
10:41:18.788 > 
10:41:18.788 > Calibration complete. Readings follow...
10:41:24.190 > [char] Starting throttle ramp to 0.40 then back to 0
10:41:24.190 > READ_CSV,12503,1,113.490,158295,52.233700,152367,0.000
10:41:24.190 > READ_CSV,12503,2,69.993,41425,52.233700,37769,0.000
10:41:24.190 > READ_CSV,12503,3,91.742,0,52.233700,0,0.000
10:41:24.213 > READ_CSV,12526,1,113.184,158279,52.233700,152367,0.000
10:41:24.213 > READ_CSV,12526,2,71.027,41479,52.233700,37769,0.000
10:41:24.213 > READ_CSV,12526,3,92.105,0,52.233700,0,0.000
10:41:24.225 > READ_CSV,12538,1,105.028,157853,52.233700,152367,0.002
10:41:24.225 > READ_CSV,12538,2,72.061,41533,52.233700,37769,0.002
10:41:24.225 > READ_CSV,12538,3,88.544,0,52.233700,0,0.002
10:41:24.236 > READ_CSV,12550,1,110.484,158138,52.233700,152367,0.002
10:41:24.236 > READ_CSV,12550,2,72.348,41548,52.233700,37769,0.002
10:41:24.236 > READ_CSV,12550,3,91.416,0,52.233700,0,0.002
10:41:24.248 > READ_CSV,12562,1,114.217,158333,52.233700,152367,0.003
10:41:24.248 > READ_CSV,12562,2,70.108,41431,52.233700,37769,0.003
10:41:24.248 > READ_CSV,12562,3,92.163,0,52.233700,0,0.003
10:41:24.259 > READ_CSV,12574,1,113.662,158304,52.233700,152367,0.003
10:41:24.261 > READ_CSV,12574,2,72.731,41568,52.233700,37769,0.003
10:41:24.261 > READ_CSV,12574,3,93.197,0,52.233700,0,0.003
10:41:24.268 > READ_CSV,12585,1,118.238,158543,52.233700,152367,0.004
10:41:24.268 > READ_CSV,12585,2,71.582,41508,52.233700,37769,0.004
10:41:24.268 > READ_CSV,12585,3,94.910,0,52.233700,0,0.004
10:41:24.284 > READ_CSV,12597,1,113.050,158272,52.233700,152367,0.004
10:41:24.284 > READ_CSV,12597,2,66.987,41268,52.233700,37769,0.004
10:41:24.284 > READ_CSV,12597,3,90.019,0,52.233700,0,0.004
10:41:24.293 > READ_CSV,12609,1,110.178,158122,52.233700,152367,0.006
10:41:24.293 > READ_CSV,12609,2,69.380,41393,52.233700,37769,0.006
10:41:24.293 > READ_CSV,12609,3,89.779,0,52.233700,0,0.006
10:41:24.302 > READ_CSV,12621,1,111.767,158205,52.233700,152367,0.006
10:41:24.302 > READ_CSV,12621,2,71.257,41491,52.233700,37769,0.006
10:41:24.302 > READ_CSV,12621,3,91.512,0,52.233700,0,0.006
10:41:24.318 > READ_CSV,12633,1,113.949,158319,52.233700,152367,0.008
10:41:24.318 > READ_CSV,12633,2,71.812,41520,52.233700,37769,0.008
10:41:24.318 > READ_CSV,12633,3,92.881,0,52.233700,0,0.008
10:41:24.331 > READ_CSV,12644,1,113.969,158320,52.233700,152367,0.008
10:41:24.331 > READ_CSV,12644,2,75.258,41700,52.233700,37769,0.008
10:41:24.331 > READ_CSV,12644,3,94.613,0,52.233700,0,0.008
10:41:24.343 > READ_CSV,12656,1,114.773,158362,52.233700,152367,0.009
10:41:24.343 > READ_CSV,12656,2,77.115,41797,52.233700,37769,0.009
10:41:24.343 > READ_CSV,12656,3,95.944,0,52.233700,0,0.009
10:41:24.355 > READ_CSV,12668,1,117.644,158512,52.233700,152367,0.009
10:41:24.355 > READ_CSV,12668,2,75.469,41711,52.233700,37769,0.009
10:41:24.355 > READ_CSV,12668,3,96.556,0,52.233700,0,0.009
10:41:24.364 > READ_CSV,12680,1,116.132,158433,52.233700,152367,0.011
10:41:24.364 > READ_CSV,12680,2,71.869,41523,52.233700,37769,0.011
10:41:24.364 > READ_CSV,12680,3,94.001,0,52.233700,0,0.011
10:41:24.376 > READ_CSV,12691,1,113.720,158307,52.233700,152367,0.011
10:41:24.376 > READ_CSV,12691,2,71.793,41519,52.233700,37769,0.011
10:41:24.376 > READ_CSV,12691,3,92.756,0,52.233700,0,0.011
10:41:24.389 > READ_CSV,12703,1,111.786,158206,52.233700,152367,0.012
10:41:24.389 > READ_CSV,12703,2,71.046,41480,52.233700,37769,0.012
10:41:24.389 > READ_CSV,12703,3,91.416,0,52.233700,0,0.012
10:41:24.401 > READ_CSV,12715,1,114.026,158323,52.233700,152367,0.012
10:41:24.401 > READ_CSV,12715,2,72.616,41562,52.233700,37769,0.012
10:41:24.401 > READ_CSV,12715,3,93.321,0,52.233700,0,0.012
10:41:24.412 > READ_CSV,12728,1,112.686,158253,52.233700,152367,0.014
10:41:24.412 > READ_CSV,12728,2,72.137,41537,52.233700,37769,0.014
10:41:24.412 > READ_CSV,12728,3,92.412,0,52.233700,0,0.014
10:41:24.436 > READ_CSV,12750,1,107.632,157989,52.233700,152367,0.014
10:41:24.436 > READ_CSV,12750,2,70.261,41439,52.233700,37769,0.014
10:41:24.436 > READ_CSV,12750,3,88.946,0,52.233700,0,0.014
10:41:24.449 > READ_CSV,12762,1,112.150,158225,52.233700,152367,0.015
10:41:24.449 > READ_CSV,12762,2,68.136,41328,52.233700,37769,0.015
10:41:24.449 > READ_CSV,12762,3,90.143,0,52.233700,0,0.015
10:41:24.460 > READ_CSV,12774,1,116.917,158474,52.233700,152367,0.015
10:41:24.460 > READ_CSV,12774,2,73.286,41597,52.233700,37769,0.015
10:41:24.460 > READ_CSV,12774,3,95.101,0,52.233700,0,0.015
10:41:24.469 > READ_CSV,12786,1,117.319,158495,52.233700,152367,0.017
10:41:24.469 > READ_CSV,12786,2,75.028,41688,52.233700,37769,0.017
10:41:24.469 > READ_CSV,12786,3,96.174,0,52.233700,0,0.017
10:41:24.483 > READ_CSV,12798,1,113.701,158306,52.233700,152367,0.017
10:41:24.483 > READ_CSV,12798,2,74.779,41675,52.233700,37769,0.017
10:41:24.483 > READ_CSV,12798,3,94.240,0,52.233700,0,0.017
10:41:24.496 > READ_CSV,12809,1,112.284,158232,52.233700,152367,0.018
10:41:24.496 > READ_CSV,12809,2,73.152,41590,52.233700,37769,0.018
10:41:24.496 > READ_CSV,12809,3,92.718,0,52.233700,0,0.018
10:41:24.502 > READ_CSV,12821,1,118.716,158568,52.233700,152367,0.018
10:41:24.502 > READ_CSV,12821,2,74.435,41657,52.233700,37769,0.018
10:41:24.502 > READ_CSV,12821,3,96.576,0,52.233700,0,0.018
10:41:24.519 > READ_CSV,12833,1,121.971,158738,52.233700,152367,0.020
10:41:24.519 > READ_CSV,12833,2,71.429,41500,52.233700,37769,0.020
10:41:24.519 > READ_CSV,12833,3,96.700,0,52.233700,0,0.020
10:41:24.528 > READ_CSV,12845,1,114.160,158330,52.233700,152367,0.020
10:41:24.528 > READ_CSV,12845,2,71.601,41509,52.233700,37769,0.020
10:41:24.528 > READ_CSV,12845,3,92.881,0,52.233700,0,0.020
10:41:24.537 > READ_CSV,12856,1,112.935,158266,52.233700,152367,0.021
10:41:24.544 > READ_CSV,12856,2,71.659,41512,52.233700,37769,0.021
10:41:24.544 > READ_CSV,12856,3,92.297,0,52.233700,0,0.021
10:41:24.554 > READ_CSV,12868,1,113.471,158294,52.233700,152367,0.021
10:41:24.554 > READ_CSV,12868,2,71.084,41482,52.233700,37769,0.021
10:41:24.554 > READ_CSV,12868,3,92.278,0,52.233700,0,0.021
10:41:24.566 > READ_CSV,12880,1,112.514,158244,52.233700,152367,0.022
10:41:24.566 > READ_CSV,12880,2,74.550,41663,52.233700,37769,0.022
10:41:24.566 > READ_CSV,12880,3,93.532,0,52.233700,0,0.022
10:41:24.578 > READ_CSV,12892,1,114.103,158327,52.233700,152367,0.022
10:41:24.579 > READ_CSV,12892,2,72.693,41566,52.233700,37769,0.022
10:41:24.579 > READ_CSV,12892,3,93.398,0,52.233700,0,0.022
10:41:24.586 > READ_CSV,12903,1,113.452,158293,52.233700,152367,0.024
10:41:24.586 > READ_CSV,12903,2,73.860,41627,52.233700,37769,0.024
10:41:24.586 > READ_CSV,12903,3,93.656,0,52.233700,0,0.024
10:41:24.602 > READ_CSV,12915,1,113.777,158310,52.233700,152367,0.024
10:41:24.603 > READ_CSV,12915,2,75.105,41692,52.233700,37769,0.024
10:41:24.603 > READ_CSV,12915,3,94.441,0,52.233700,0,0.024
10:41:24.611 > READ_CSV,12928,1,113.509,158296,52.233700,152367,0.025
10:41:24.611 > READ_CSV,12928,2,70.414,41447,52.233700,37769,0.025
10:41:24.611 > READ_CSV,12928,3,91.962,0,52.233700,0,0.025
10:41:24.636 > READ_CSV,12951,1,109.450,158084,52.233700,152367,0.025
10:41:24.636 > READ_CSV,12951,2,69.917,41421,52.233700,37769,0.025
10:41:24.636 > READ_CSV,12951,3,89.683,0,52.233700,0,0.025
10:41:24.649 > READ_CSV,12962,1,109.872,158106,52.233700,152367,0.027
10:41:24.650 > READ_CSV,12962,2,72.290,41545,52.233700,37769,0.027
10:41:24.650 > READ_CSV,12962,3,91.081,0,52.233700,0,0.027
10:41:24.661 > READ_CSV,12974,1,111.154,158173,52.233700,152367,0.027
10:41:24.661 > READ_CSV,12974,2,73.899,41629,52.233700,37769,0.027
10:41:24.661 > READ_CSV,12974,3,92.526,0,52.233700,0,0.027
10:41:24.671 > READ_CSV,12986,1,110.982,158164,52.233700,152367,0.028
10:41:24.671 > READ_CSV,12986,2,74.435,41657,52.233700,37769,0.028
10:41:24.671 > READ_CSV,12986,3,92.708,0,52.233700,0,0.028
10:41:24.683 > READ_CSV,12998,1,113.433,158292,52.233700,152367,0.028
10:41:24.683 > READ_CSV,12998,2,75.832,41730,52.233700,37769,0.028
10:41:24.683 > READ_CSV,12998,3,94.632,0,52.233700,0,0.028
10:41:24.695 > READ_CSV,13009,1,112.437,158240,52.233700,152367,0.030
10:41:24.695 > READ_CSV,13009,2,72.252,41543,52.233700,37769,0.030
10:41:24.695 > READ_CSV,13009,3,92.345,0,52.233700,0,0.030
10:41:24.708 > READ_CSV,13021,1,111.327,158182,52.233700,152367,0.030
10:41:24.708 > READ_CSV,13021,2,71.218,41489,52.233700,37769,0.030
10:41:24.708 > READ_CSV,13021,3,91.272,0,52.233700,0,0.030
10:41:24.720 > READ_CSV,13033,1,110.503,158139,52.233700,152367,0.031
10:41:24.720 > READ_CSV,13033,2,73.056,41585,52.233700,37769,0.031
10:41:24.720 > READ_CSV,13033,3,91.780,0,52.233700,0,0.031
10:41:24.729 > READ_CSV,13045,1,112.992,158269,52.233700,152367,0.031
10:41:24.729 > READ_CSV,13045,2,75.373,41706,52.233700,37769,0.031
10:41:24.729 > READ_CSV,13045,3,94.182,0,52.233700,0,0.031
10:41:24.737 > READ_CSV,13056,1,118.219,158542,52.233700,152367,0.033
10:41:24.737 > READ_CSV,13056,2,74.588,41665,52.233700,37769,0.033
10:41:24.737 > READ_CSV,13056,3,96.403,0,52.233700,0,0.033
