20:31:21.072 > Starting HX711 dual-example (Teensy + Adafruit HX711)
20:31:21.072 > Scale 1 is busy...
20:31:21.072 > Scale 2 is busy...
20:31:21.072 > Scale 1 is busy...
20:31:21.072 > Scale 2 is busy...
20:31:21.094 > Scale 1 is busy...
20:31:21.094 > Scale 2 is busy...
20:31:21.104 > Scale 1 is busy...
20:31:21.104 > Scale 2 is busy...
20:31:21.114 > Scale 1 is busy...
20:31:21.114 > Scale 2 is busy...
20:31:21.124 > Scale 1 is busy...
20:31:21.124 > Scale 2 is busy...
20:31:21.134 > Scale 1 is busy...
20:31:21.134 > Scale 2 is busy...
20:31:21.154 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
20:31:21.154 > 
20:31:21.154 > Calibration complete. Readings follow...
20:32:05.655 > [char] Starting throttle ramp to 0.40 then back to 0
20:32:05.655 > READ_CSV,50024,1,65.475,155787,52.233700,152367,0.000
20:32:05.655 > READ_CSV,50024,2,43.688,40051,52.233700,37769,0.000
20:32:05.655 > READ_CSV,50024,3,54.582,0,52.233700,0,0.000
20:32:05.667 > READ_CSV,50036,1,67.026,155868,52.233700,152367,0.000
20:32:05.667 > READ_CSV,50036,2,47.173,40233,52.233700,37769,0.000
20:32:05.667 > READ_CSV,50036,3,57.099,0,52.233700,0,0.000
20:32:05.680 > READ_CSV,50049,1,66.930,155863,52.233700,152367,0.001
20:32:05.680 > READ_CSV,50049,2,47.536,40252,52.233700,37769,0.001
20:32:05.680 > READ_CSV,50049,3,57.233,0,52.233700,0,0.001
20:32:05.692 > READ_CSV,50061,1,65.456,155786,52.233700,152367,0.001
20:32:05.692 > READ_CSV,50061,2,50.638,40414,52.233700,37769,0.001
20:32:05.692 > READ_CSV,50061,3,58.047,0,52.233700,0,0.001
20:32:05.705 > READ_CSV,50074,1,66.777,155855,52.233700,152367,0.002
20:32:05.705 > READ_CSV,50074,2,46.426,40194,52.233700,37769,0.002
20:32:05.705 > READ_CSV,50074,3,56.601,0,52.233700,0,0.002
20:32:05.717 > READ_CSV,50086,1,68.672,155954,52.233700,152367,0.002
20:32:05.717 > READ_CSV,50086,2,45.852,40164,52.233700,37769,0.002
20:32:05.717 > READ_CSV,50086,3,57.262,0,52.233700,0,0.002
20:32:05.730 > READ_CSV,50099,1,70.548,156052,52.233700,152367,0.003
20:32:05.730 > READ_CSV,50099,2,48.092,40281,52.233700,37769,0.003
20:32:05.730 > READ_CSV,50099,3,59.320,0,52.233700,0,0.003
20:32:05.742 > READ_CSV,50111,1,66.011,155815,52.233700,152367,0.003
20:32:05.742 > READ_CSV,50111,2,47.862,40269,52.233700,37769,0.003
20:32:05.742 > READ_CSV,50111,3,56.936,0,52.233700,0,0.003
20:32:05.755 > READ_CSV,50124,1,64.652,155744,52.233700,152367,0.004
20:32:05.755 > READ_CSV,50124,2,44.282,40082,52.233700,37769,0.004
20:32:05.755 > READ_CSV,50124,3,54.467,0,52.233700,0,0.004
20:32:05.767 > READ_CSV,50136,1,65.264,155776,52.233700,152367,0.004
20:32:05.767 > READ_CSV,50136,2,46.943,40221,52.233700,37769,0.004
20:32:05.767 > READ_CSV,50136,3,56.104,0,52.233700,0,0.004
20:32:05.779 > READ_CSV,50149,1,66.164,155823,52.233700,152367,0.005
20:32:05.779 > READ_CSV,50149,2,47.211,40235,52.233700,37769,0.005
20:32:05.779 > READ_CSV,50149,3,56.688,0,52.233700,0,0.005
20:32:05.792 > READ_CSV,50161,1,65.686,155798,52.233700,152367,0.005
20:32:05.792 > READ_CSV,50161,2,43.593,40046,52.233700,37769,0.005
20:32:05.792 > READ_CSV,50161,3,54.639,0,52.233700,0,0.005
20:32:05.803 > READ_CSV,50174,1,66.834,155858,52.233700,152367,0.006
20:32:05.803 > READ_CSV,50174,2,43.363,40034,52.233700,37769,0.006
20:32:05.803 > READ_CSV,50174,3,55.099,0,52.233700,0,0.006
20:32:05.817 > READ_CSV,50186,1,65.111,155768,52.233700,152367,0.006
20:32:05.817 > READ_CSV,50186,2,47.019,40225,52.233700,37769,0.006
