13:51:13.407 > Starting HX711 dual-example (Teensy + Adafruit HX711)
13:51:13.407 > Scale 1 is busy...
13:51:13.407 > Scale 2 is busy...
13:51:13.425 > Scale 1 is busy...
13:51:13.425 > Scale 2 is busy...
13:51:13.434 > Scale 1 is busy...
13:51:13.434 > Scale 2 is busy...
13:51:13.442 > Scale 1 is busy...
13:51:13.442 > Scale 2 is busy...
13:51:13.458 > Scale 1 is busy...
13:51:13.458 > Scale 2 is busy...
13:51:13.467 > Scale 1 is busy...
13:51:13.467 > Scale 2 is busy...
13:51:13.475 > Scale 1 is busy...
13:51:13.475 > Scale 2 is busy...
13:51:13.511 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
13:51:13.511 > 
13:51:13.511 > Calibration complete. Readings follow...
13:51:17.041 > [char] Starting throttle ramp to 0.40 then back to 0
13:51:17.041 > READ_CSV,20633,1,53.797,155177,52.233700,152367,0.000
13:51:17.041 > READ_CSV,20633,2,65.494,41190,52.233700,37769,0.000
13:51:17.041 > READ_CSV,20633,3,59.645,0,52.233700,0,0.000
13:51:17.041 > READ_CSV,20638,1,53.510,155162,52.233700,152367,0.000
13:51:17.041 > READ_CSV,20638,2,65.054,41167,52.233700,37769,0.000
13:51:17.041 > READ_CSV,20638,3,59.282,0,52.233700,0,0.000
13:51:17.066 > READ_CSV,20649,1,49.815,154969,52.233700,152367,0.000
13:51:17.066 > READ_CSV,20649,2,61.167,40964,52.233700,37769,0.000
13:51:17.066 > READ_CSV,20649,3,55.491,0,52.233700,0,0.000
13:51:17.074 > READ_CSV,20661,1,49.374,154946,52.233700,152367,0.000
13:51:17.074 > READ_CSV,20661,2,61.761,40995,52.233700,37769,0.000
13:51:17.074 > READ_CSV,20661,3,55.568,0,52.233700,0,0.000
13:51:17.088 > READ_CSV,20672,1,53.146,155143,52.233700,152367,0.001
13:51:17.088 > READ_CSV,20672,2,63.637,41093,52.233700,37769,0.001
13:51:17.088 > READ_CSV,20672,3,58.391,0,52.233700,0,0.001
13:51:17.099 > READ_CSV,20684,1,53.318,155152,52.233700,152367,0.001
13:51:17.100 > READ_CSV,20684,2,65.015,41165,52.233700,37769,0.001
13:51:17.100 > READ_CSV,20684,3,59.167,0,52.233700,0,0.001
13:51:17.108 > READ_CSV,20695,1,51.691,155067,52.233700,152367,0.002
13:51:17.112 > READ_CSV,20695,2,64.422,41134,52.233700,37769,0.002
13:51:17.112 > READ_CSV,20695,3,58.056,0,52.233700,0,0.002
13:51:17.120 > READ_CSV,20707,1,52.725,155121,52.233700,152367,0.002
13:51:17.120 > READ_CSV,20707,2,62.814,41050,52.233700,37769,0.002
13:51:17.120 > READ_CSV,20707,3,57.769,0,52.233700,0,0.002
13:51:17.134 > READ_CSV,20718,1,50.810,155021,52.233700,152367,0.003
13:51:17.134 > READ_CSV,20718,2,62.929,41056,52.233700,37769,0.003
13:51:17.134 > READ_CSV,20718,3,56.869,0,52.233700,0,0.003
13:51:17.145 > READ_CSV,20730,1,49.125,154933,52.233700,152367,0.003
13:51:17.145 > READ_CSV,20730,2,63.024,41061,52.233700,37769,0.003
13:51:17.145 > READ_CSV,20730,3,56.075,0,52.233700,0,0.003
13:51:17.157 > READ_CSV,20741,1,48.111,154880,52.233700,152367,0.004
13:51:17.158 > READ_CSV,20741,2,66.068,41220,52.233700,37769,0.004
13:51:17.158 > READ_CSV,20741,3,57.090,0,52.233700,0,0.004
13:51:17.169 > READ_CSV,20753,1,49.374,154946,52.233700,152367,0.004
13:51:17.169 > READ_CSV,20753,2,66.432,41239,52.233700,37769,0.004
13:51:17.169 > READ_CSV,20753,3,57.903,0,52.233700,0,0.004
13:51:17.181 > READ_CSV,20764,1,51.308,155047,52.233700,152367,0.005
13:51:17.181 > READ_CSV,20764,2,64.097,41117,52.233700,37769,0.005
13:51:17.181 > READ_CSV,20764,3,57.702,0,52.233700,0,0.005
13:51:17.192 > READ_CSV,20776,1,51.155,155039,52.233700,152367,0.005
13:51:17.192 > READ_CSV,20776,2,62.718,41045,52.233700,37769,0.005
13:51:17.192 > READ_CSV,20776,3,56.936,0,52.233700,0,0.005
13:51:17.204 > READ_CSV,20788,1,51.365,155050,52.233700,152367,0.006
13:51:17.204 > READ_CSV,20788,2,61.780,40996,52.233700,37769,0.006
13:51:17.204 > READ_CSV,20788,3,56.573,0,52.233700,0,0.006
13:51:17.215 > READ_CSV,20799,1,50.312,154995,52.233700,152367,0.006
13:51:17.215 > READ_CSV,20799,2,63.312,41076,52.233700,37769,0.006
13:51:17.215 > READ_CSV,20799,3,56.812,0,52.233700,0,0.006
13:51:17.227 > READ_CSV,20811,1,50.734,155017,52.233700,152367,0.007
13:51:17.227 > READ_CSV,20811,2,61.589,40986,52.233700,37769,0.007
13:51:17.227 > READ_CSV,20811,3,56.161,0,52.233700,0,0.007
13:51:17.238 > READ_CSV,20822,1,50.159,154987,52.233700,152367,0.007
13:51:17.238 > READ_CSV,20822,2,61.818,40998,52.233700,37769,0.007
13:51:17.238 > READ_CSV,20822,3,55.989,0,52.233700,0,0.007
13:51:17.246 > READ_CSV,20834,1,50.293,154994,52.233700,152367,0.008
13:51:17.250 > READ_CSV,20834,2,62.220,41019,52.233700,37769,0.008
13:51:17.250 > READ_CSV,20834,3,56.257,0,52.233700,0,0.008
13:51:17.262 > READ_CSV,20845,1,49.738,154965,52.233700,152367,0.008
13:51:17.262 > READ_CSV,20845,2,64.097,41117,52.233700,37769,0.008
13:51:17.262 > READ_CSV,20845,3,56.917,0,52.233700,0,0.008
13:51:17.272 > READ_CSV,20857,1,50.485,155004,52.233700,152367,0.009
13:51:17.272 > READ_CSV,20857,2,65.073,41168,52.233700,37769,0.009
13:51:17.272 > READ_CSV,20857,3,57.779,0,52.233700,0,0.009
13:51:17.285 > READ_CSV,20868,1,51.155,155039,52.233700,152367,0.009
13:51:17.285 > READ_CSV,20868,2,62.833,41051,52.233700,37769,0.009
13:51:17.285 > READ_CSV,20868,3,56.994,0,52.233700,0,0.009
13:51:17.295 > READ_CSV,20880,1,51.557,155060,52.233700,152367,0.010
13:51:17.295 > READ_CSV,20880,2,65.628,41197,52.233700,37769,0.010
13:51:17.295 > READ_CSV,20880,3,58.592,0,52.233700,0,0.010
13:51:17.308 > READ_CSV,20892,1,51.499,155057,52.233700,152367,0.010
13:51:17.308 > READ_CSV,20892,2,65.647,41198,52.233700,37769,0.010
13:51:17.308 > READ_CSV,20892,3,58.573,0,52.233700,0,0.010
13:51:17.318 > READ_CSV,20904,1,48.072,154878,52.233700,152367,0.011
13:51:17.318 > READ_CSV,20904,2,64.824,41155,52.233700,37769,0.011
13:51:17.318 > READ_CSV,20904,3,56.448,0,52.233700,0,0.011
