20:40:56.743 > Starting HX711 dual-example (Teensy + Adafruit HX711)
20:40:56.745 > Scale 1 is busy...
20:40:56.745 > Scale 2 is busy...
20:40:56.757 > Scale 1 is busy...
20:40:56.757 > Scale 2 is busy...
20:40:56.764 > Scale 1 is busy...
20:40:56.767 > Scale 2 is busy...
20:40:56.776 > Scale 1 is busy...
20:40:56.776 > Scale 2 is busy...
20:40:56.786 > Scale 1 is busy...
20:40:56.786 > Scale 2 is busy...
20:40:56.795 > Scale 1 is busy...
20:40:56.797 > Scale 2 is busy...
20:40:56.805 > Scale 1 is busy...
20:40:56.807 > Scale 2 is busy...
20:40:56.826 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle,battery_voltage
20:40:56.826 > Calibrating both scales together:
20:41:00.341 > Tare1 raw = 134292
20:41:00.341 > Tare2 raw = 56169
20:41:00.341 > 
20:41:00.341 > Calibration complete. Readings follow...
20:41:12.743 > [char] Starting throttle ramp to 0.40 then back to 0
20:41:12.743 > READ_CSV,20203,1,-2570.984,0,52.233700,134292,0.000,4.141
20:41:12.743 > READ_CSV,20203,2,-1075.340,0,52.233700,56169,0.000,4.141
20:41:12.743 > READ_CSV,20203,3,-1823.162,0,52.233700,0,0.000,4.141
20:41:12.749 > READ_CSV,20216,1,-2570.984,0,52.233700,134292,0.000,4.714
20:41:12.749 > READ_CSV,20216,2,-1075.340,0,52.233700,56169,0.000,4.714
20:41:12.749 > READ_CSV,20216,3,-1823.162,0,52.233700,0,0.000,4.714
20:41:12.767 > READ_CSV,20228,1,-2570.984,0,52.233700,134292,0.001,4.838
20:41:12.767 > READ_CSV,20228,2,-1075.340,0,52.233700,56169,0.001,4.838
20:41:12.767 > READ_CSV,20228,3,-1823.162,0,52.233700,0,0.001,4.838
20:41:12.775 > READ_CSV,20241,1,-2570.984,0,52.233700,134292,0.001,4.874
20:41:12.775 > READ_CSV,20241,2,-1075.340,0,52.233700,56169,0.001,4.874
20:41:12.775 > READ_CSV,20241,3,-1823.162,0,52.233700,0,0.001,4.874
20:41:12.792 > READ_CSV,20253,1,-2570.984,0,52.233700,134292,0.002,4.881
20:41:12.792 > READ_CSV,20253,2,-1075.340,0,52.233700,56169,0.002,4.881
20:41:12.792 > READ_CSV,20253,3,-1823.162,0,52.233700,0,0.002,4.881
20:41:12.798 > READ_CSV,20266,1,-2570.984,0,52.233700,134292,0.002,4.910
20:41:12.798 > READ_CSV,20266,2,-1075.340,0,52.233700,56169,0.002,4.910
20:41:12.798 > READ_CSV,20266,3,-1823.162,0,52.233700,0,0.002,4.910
20:41:12.815 > READ_CSV,20278,1,-2570.984,0,52.233700,134292,0.003,4.917
20:41:12.815 > READ_CSV,20278,2,-1075.340,0,52.233700,56169,0.003,4.917
20:41:12.815 > READ_CSV,20278,3,-1823.162,0,52.233700,0,0.003,4.917
20:41:12.829 > READ_CSV,20291,1,-2570.984,0,52.233700,134292,0.003,4.932
20:41:12.830 > READ_CSV,20291,2,-1075.340,0,52.233700,56169,0.003,4.932
20:41:12.830 > READ_CSV,20291,3,-1823.162,0,52.233700,0,0.003,4.932
20:41:12.841 > READ_CSV,20303,1,-2570.984,0,52.233700,134292,0.004,4.939
20:41:12.841 > READ_CSV,20303,2,-1075.340,0,52.233700,56169,0.004,4.939
20:41:12.841 > READ_CSV,20303,3,-1823.162,0,52.233700,0,0.004,4.939
20:41:12.848 > READ_CSV,20316,1,-2570.984,0,52.233700,134292,0.004,4.997
20:41:12.856 > READ_CSV,20316,2,-1075.340,0,52.233700,56169,0.004,4.997
20:41:12.856 > READ_CSV,20316,3,-1823.162,0,52.233700,0,0.004,4.997
20:41:12.865 > READ_CSV,20328,1,-2570.984,0,52.233700,134292,0.005,5.033
20:41:12.865 > READ_CSV,20328,2,-1075.340,0,52.233700,56169,0.005,5.033
20:41:12.865 > READ_CSV,20328,3,-1823.162,0,52.233700,0,0.005,5.033
20:41:12.878 > READ_CSV,20341,1,-2570.984,0,52.233700,134292,0.005,5.041
20:41:12.878 > READ_CSV,20341,2,-1075.340,0,52.233700,56169,0.005,5.041
20:41:12.878 > READ_CSV,20341,3,-1823.162,0,52.233700,0,0.005,5.041
20:41:12.891 > READ_CSV,20353,1,-2570.984,0,52.233700,134292,0.006,5.048
20:41:12.891 > READ_CSV,20353,2,-1075.340,0,52.233700,56169,0.006,5.048
20:41:12.891 > READ_CSV,20353,3,-1823.162,0,52.233700,0,0.006,5.048
20:41:12.902 > READ_CSV,20366,1,-2570.984,0,52.233700,134292,0.006,5.062
20:41:12.906 > READ_CSV,20366,2,-1075.340,0,52.233700,56169,0.006,5.062
20:41:12.906 > READ_CSV,20366,3,-1823.162,0,52.233700,0,0.006,5.062
20:41:12.914 > READ_CSV,20378,1,-2570.984,0,52.233700,134292,0.007,5.070
20:41:12.914 > READ_CSV,20378,2,-1075.340,0,52.233700,56169,0.007,5.070
20:41:12.914 > READ_CSV,20378,3,-1823.162,0,52.233700,0,0.007,5.070
20:41:12.923 > READ_CSV,20391,1,-2570.984,0,52.233700,134292,0.007,5.084
20:41:12.930 > READ_CSV,20391,2,-1075.340,0,52.233700,56169,0.007,5.084
20:41:12.930 > READ_CSV,20391,3,-1823.162,0,52.233700,0,0.007,5.084
20:41:12.942 > READ_CSV,20403,1,-2570.984,0,52.233700,134292,0.008,5.084
20:41:12.942 > READ_CSV,20403,2,-1075.340,0,52.233700,56169,0.008,5.084
20:41:12.942 > READ_CSV,20403,3,-1823.162,0,52.233700,0,0.008,5.084
20:41:12.955 > READ_CSV,20416,1,-2570.984,0,52.233700,134292,0.008,5.099
20:41:12.955 > READ_CSV,20416,2,-1075.340,0,52.233700,56169,0.008,5.099
20:41:12.955 > READ_CSV,20416,3,-1823.162,0,52.233700,0,0.008,5.099
20:41:12.968 > READ_CSV,20428,1,-2570.984,0,52.233700,134292,0.009,5.106
20:41:12.968 > READ_CSV,20428,2,-1075.340,0,52.233700,56169,0.009,5.106
20:41:12.968 > READ_CSV,20428,3,-1823.162,0,52.233700,0,0.009,5.106
20:41:12.980 > READ_CSV,20441,1,-2570.984,0,52.233700,134292,0.009,5.099
20:41:12.981 > READ_CSV,20441,2,-1075.340,0,52.233700,56169,0.009,5.099
20:41:12.981 > READ_CSV,20441,3,-1823.162,0,52.233700,0,0.009,5.099
20:41:12.992 > READ_CSV,20453,1,-2570.984,0,52.233700,134292,0.010,5.113
20:41:12.992 > READ_CSV,20453,2,-1075.340,0,52.233700,56169,0.010,5.113
20:41:12.992 > READ_CSV,20453,3,-1823.162,0,52.233700,0,0.010,5.113
20:41:13.004 > READ_CSV,20466,1,-2570.984,0,52.233700,134292,0.010,5.128
20:41:13.004 > READ_CSV,20466,2,-1075.340,0,52.233700,56169,0.010,5.128
20:41:13.004 > READ_CSV,20466,3,-1823.162,0,52.233700,0,0.010,5.128
20:41:13.012 > READ_CSV,20478,1,-2570.984,0,52.233700,134292,0.011,5.135
20:41:13.012 > READ_CSV,20478,2,-1075.340,0,52.233700,56169,0.011,5.135
20:41:13.012 > READ_CSV,20478,3,-1823.162,0,52.233700,0,0.011,5.135
20:41:13.030 > READ_CSV,20491,1,-2570.984,0,52.233700,134292,0.011,5.135
