11:00:22.503 > Starting HX711 dual-example (Teensy + Adafruit HX711)
11:00:22.509 > Scale 1 is busy...
11:00:22.509 > Scale 2 is busy...
11:00:22.517 > Scale 1 is busy...
11:00:22.517 > Scale 2 is busy...
11:00:22.529 > Scale 1 is busy...
11:00:22.529 > Scale 2 is busy...
11:00:22.538 > Scale 1 is busy...
11:00:22.538 > Scale 2 is busy...
11:00:22.547 > Scale 1 is busy...
11:00:22.549 > Scale 2 is busy...
11:00:22.559 > Scale 1 is busy...
11:00:22.559 > Scale 2 is busy...
11:00:22.566 > Scale 1 is busy...
11:00:22.566 > Scale 2 is busy...
11:00:22.584 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
11:00:22.584 > Calibrating both scales together:
11:00:34.295 > Tare1 raw = 154939
11:00:34.295 > Tare2 raw = 43762
11:00:34.295 > 
11:00:34.295 > Calibration complete. Readings follow...
11:00:34.295 > [char] Starting throttle ramp to 0.40 then back to 0
11:00:34.306 > READ_CSV,16391,1,-2.221,154823,52.233700,154939,0.000
11:00:34.306 > READ_CSV,16391,2,1.015,43815,52.233700,43762,0.000
11:00:34.306 > READ_CSV,16391,3,-0.603,0,52.233700,0,0.000
11:00:34.306 > [fly] Stopped
11:01:04.507 > [char] Starting throttle ramp to 0.40 then back to 0
11:01:04.507 > READ_CSV,46593,1,3.982,155147,52.233700,154939,0.000
11:01:04.507 > READ_CSV,46593,2,0.440,43785,52.233700,43762,0.000
11:01:04.507 > READ_CSV,46593,3,2.211,0,52.233700,0,0.000
11:01:04.515 > READ_CSV,46605,1,5.897,155247,52.233700,154939,0.000
11:01:04.515 > READ_CSV,46605,2,-0.727,43724,52.233700,43762,0.000
11:01:04.515 > READ_CSV,46605,3,2.585,0,52.233700,0,0.000
11:01:04.532 > READ_CSV,46618,1,2.987,155095,52.233700,154939,0.002
11:01:04.532 > READ_CSV,46618,2,0.785,43803,52.233700,43762,0.002
11:01:04.532 > READ_CSV,46618,3,1.886,0,52.233700,0,0.002
11:01:04.541 > READ_CSV,46630,1,2.029,155045,52.233700,154939,0.002
11:01:04.541 > READ_CSV,46630,2,-0.287,43747,52.233700,43762,0.002
11:01:04.541 > READ_CSV,46630,3,0.871,0,52.233700,0,0.002
11:01:04.559 > READ_CSV,46643,1,3.523,155123,52.233700,154939,0.003
11:01:04.559 > READ_CSV,46643,2,-1.417,43688,52.233700,43762,0.003
11:01:04.559 > READ_CSV,46643,3,1.053,0,52.233700,0,0.003
11:01:04.571 > READ_CSV,46655,1,3.063,155099,52.233700,154939,0.003
11:01:04.571 > READ_CSV,46655,2,-2.661,43623,52.233700,43762,0.003
11:01:04.571 > READ_CSV,46655,3,0.201,0,52.233700,0,0.003
11:01:04.584 > READ_CSV,46668,1,3.082,155100,52.233700,154939,0.004
11:01:04.584 > READ_CSV,46668,2,-1.800,43668,52.233700,43762,0.004
11:01:04.584 > READ_CSV,46668,3,0.641,0,52.233700,0,0.004
11:01:04.595 > READ_CSV,46680,1,1.685,155027,52.233700,154939,0.004
11:01:04.595 > READ_CSV,46680,2,-0.689,43726,52.233700,43762,0.004
11:01:04.595 > READ_CSV,46680,3,0.498,0,52.233700,0,0.004
11:01:04.606 > READ_CSV,46693,1,0.000,154939,52.233700,154939,0.006
11:01:04.606 > READ_CSV,46693,2,-0.823,43719,52.233700,43762,0.006
11:01:04.606 > READ_CSV,46693,3,-0.412,0,52.233700,0,0.006
11:01:04.620 > READ_CSV,46705,1,1.130,154998,52.233700,154939,0.006
11:01:04.620 > READ_CSV,46705,2,1.608,43846,52.233700,43762,0.006
11:01:04.620 > READ_CSV,46705,3,1.369,0,52.233700,0,0.006
11:01:04.632 > READ_CSV,46718,1,-1.398,154866,52.233700,154939,0.008
11:01:04.634 > READ_CSV,46718,2,2.891,43913,52.233700,43762,0.008
11:01:04.634 > READ_CSV,46718,3,0.747,0,52.233700,0,0.008
11:01:04.645 > READ_CSV,46730,1,1.493,155017,52.233700,154939,0.008
11:01:04.645 > READ_CSV,46730,2,3.408,43940,52.233700,43762,0.008
11:01:04.645 > READ_CSV,46730,3,2.451,0,52.233700,0,0.008
11:01:04.657 > READ_CSV,46743,1,-0.287,154924,52.233700,154939,0.009
11:01:04.657 > READ_CSV,46743,2,3.542,43947,52.233700,43762,0.009
11:01:04.657 > READ_CSV,46743,3,1.627,0,52.233700,0,0.009
11:01:04.671 > READ_CSV,46755,1,-1.340,154869,52.233700,154939,0.009
