20:22:23.849 > Starting HX711 dual-example (Teensy + Adafruit HX711)
20:22:23.853 > Scale 1 is busy...
20:22:23.853 > Scale 2 is busy...
20:22:23.861 > Scale 1 is busy...
20:22:23.861 > Scale 2 is busy...
20:22:23.873 > Scale 1 is busy...
20:22:23.873 > Scale 2 is busy...
20:22:23.883 > Scale 1 is busy...
20:22:23.884 > Scale 2 is busy...
20:22:23.887 > Scale 1 is busy...
20:22:23.887 > Scale 2 is busy...
20:22:23.902 > Scale 1 is busy...
20:22:23.902 > Scale 2 is busy...
20:22:23.912 > Scale 1 is busy...
20:22:23.912 > Scale 2 is busy...
20:22:23.929 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
20:22:23.929 > Calibrating both scales together:
20:22:23.929 > 
20:22:23.929 > Calibration complete. Readings follow...
20:22:28.677 > [char] Starting throttle ramp to 0.40 then back to 0
20:22:28.688 > READ_CSV,9597,1,-2321.164,31124,52.233700,152367,0.000
20:22:28.688 > READ_CSV,9597,2,-304.535,21862,52.233700,37769,0.000
20:22:28.688 > READ_CSV,9597,3,-1312.850,0,52.233700,0,0.000
20:22:28.721 > READ_CSV,9630,1,-2347.871,29729,52.233700,152367,0.000
20:22:28.721 > READ_CSV,9630,2,-304.784,21849,52.233700,37769,0.000
20:22:28.721 > READ_CSV,9630,3,-1326.328,0,52.233700,0,0.000
20:22:28.745 > READ_CSV,9654,1,-2406.952,26643,52.233700,152367,0.015
20:22:28.745 > READ_CSV,9654,2,-304.420,21868,52.233700,37769,0.015
20:22:28.745 > READ_CSV,9654,3,-1355.686,0,52.233700,0,0.015
20:22:28.757 > READ_CSV,9666,1,-2484.086,22614,52.233700,152367,0.030
20:22:28.757 > READ_CSV,9666,2,-723.096,-1,52.233700,37769,0.030
20:22:28.757 > READ_CSV,9666,3,-1603.591,0,52.233700,0,0.030
20:22:28.767 > READ_CSV,9678,1,-2491.859,22208,52.233700,152367,0.030
20:22:28.767 > READ_CSV,9678,2,-302.984,21943,52.233700,37769,0.030
20:22:28.767 > READ_CSV,9678,3,-1397.422,0,52.233700,0,0.030
20:22:28.789 > READ_CSV,9698,1,-2490.212,22294,52.233700,152367,0.045
20:22:28.789 > READ_CSV,9698,2,-305.416,21816,52.233700,37769,0.045
20:22:28.789 > READ_CSV,9698,3,-1397.814,0,52.233700,0,0.045
20:22:28.792 > READ_CSV,9701,1,-2487.800,22420,52.233700,152367,0.045
20:22:28.792 > READ_CSV,9701,2,-723.096,-1,52.233700,37769,0.045
20:22:28.792 > READ_CSV,9701,3,-1605.448,0,52.233700,0,0.045
20:22:28.803 > READ_CSV,9713,1,-2490.882,22259,52.233700,152367,0.060
20:22:28.803 > READ_CSV,9713,2,-306.584,21755,52.233700,37769,0.060
20:22:28.803 > READ_CSV,9713,3,-1398.733,0,52.233700,0,0.060
20:22:28.824 > READ_CSV,9734,1,-2497.066,21936,52.233700,152367,0.060
20:22:28.824 > READ_CSV,9734,2,-304.325,21873,52.233700,37769,0.060
20:22:28.824 > READ_CSV,9734,3,-1400.695,0,52.233700,0,0.060
20:22:28.844 > READ_CSV,9758,1,-2505.854,21477,52.233700,152367,0.075
20:22:28.844 > READ_CSV,9758,2,-302.716,21957,52.233700,37769,0.075
20:22:28.844 > READ_CSV,9758,3,-1404.285,0,52.233700,0,0.075
20:22:28.872 > READ_CSV,9782,1,-2482.535,22695,52.233700,152367,0.090
20:22:28.872 > READ_CSV,9782,2,-305.224,21826,52.233700,37769,0.090
20:22:28.872 > READ_CSV,9782,3,-1393.880,0,52.233700,0,0.090
20:22:28.881 > READ_CSV,9791,1,-2330.430,30640,52.233700,152367,0.105
20:22:28.881 > READ_CSV,9791,2,-723.096,-1,52.233700,37769,0.105
20:22:28.881 > READ_CSV,9791,3,-1526.763,0,52.233700,0,0.105
20:22:28.893 > READ_CSV,9803,1,-2423.723,25767,52.233700,152367,0.105
20:22:28.893 > READ_CSV,9803,2,-307.886,21687,52.233700,37769,0.105
20:22:28.893 > READ_CSV,9803,3,-1365.804,0,52.233700,0,0.105
20:22:28.903 > READ_CSV,9818,1,-2429.179,25482,52.233700,152367,0.120
20:22:28.909 > READ_CSV,9818,2,-304.478,21865,52.233700,37769,0.120
20:22:28.909 > READ_CSV,9818,3,-1366.828,0,52.233700,0,0.120
20:22:28.928 > READ_CSV,9841,1,-2433.774,25242,52.233700,152367,0.120
20:22:28.928 > READ_CSV,9841,2,-305.263,21824,52.233700,37769,0.120
20:22:28.928 > READ_CSV,9841,3,-1369.518,0,52.233700,0,0.120
20:22:28.942 > READ_CSV,9857,1,-2442.676,24777,52.233700,152367,0.135
20:22:28.942 > READ_CSV,9857,2,-723.096,-1,52.233700,37769,0.135
20:22:28.942 > READ_CSV,9857,3,-1582.886,0,52.233700,0,0.135
20:22:28.969 > READ_CSV,9880,1,-2356.257,29291,52.233700,152367,0.135
20:22:28.969 > READ_CSV,9880,2,-302.200,21984,52.233700,37769,0.135
20:22:28.969 > READ_CSV,9880,3,-1329.228,0,52.233700,0,0.135
20:22:28.983 > READ_CSV,9892,1,-2485.120,22560,52.233700,152367,0.150
20:22:28.983 > READ_CSV,9892,2,-723.096,-1,52.233700,37769,0.150
20:22:28.983 > READ_CSV,9892,3,-1604.108,0,52.233700,0,0.150
20:22:28.994 > READ_CSV,9904,1,-2508.821,21322,52.233700,152367,0.150
20:22:28.994 > READ_CSV,9904,2,-302.468,21970,52.233700,37769,0.150
20:22:28.994 > READ_CSV,9904,3,-1405.644,0,52.233700,0,0.150
20:22:29.002 > READ_CSV,9916,1,-2493.046,22146,52.233700,152367,0.165
20:22:29.002 > READ_CSV,9916,2,-723.096,-1,52.233700,37769,0.165
20:22:29.002 > READ_CSV,9916,3,-1608.071,0,52.233700,0,0.165
20:22:29.017 > READ_CSV,9928,1,-2490.538,22277,52.233700,152367,0.165
20:22:29.017 > READ_CSV,9928,2,-304.765,21850,52.233700,37769,0.165
20:22:29.017 > READ_CSV,9928,3,-1397.651,0,52.233700,0,0.165
20:22:29.025 > READ_CSV,9939,1,-2487.666,22427,52.233700,152367,0.180
20:22:29.025 > READ_CSV,9939,2,-723.096,-1,52.233700,37769,0.180
20:22:29.025 > READ_CSV,9939,3,-1605.381,0,52.233700,0,0.180
20:22:29.038 > READ_CSV,9951,1,-2491.629,22220,52.233700,152367,0.180
20:22:29.042 > READ_CSV,9951,2,-302.353,21976,52.233700,37769,0.180
20:22:29.042 > READ_CSV,9951,3,-1396.991,0,52.233700,0,0.180
20:22:29.053 > READ_CSV,9963,1,-2497.526,21912,52.233700,152367,0.195
20:22:29.055 > READ_CSV,9963,2,-723.096,-1,52.233700,37769,0.195
20:22:29.055 > READ_CSV,9963,3,-1610.311,0,52.233700,0,0.195
20:22:29.059 > READ_CSV,9975,1,-2491.763,22213,52.233700,152367,0.195
20:22:29.059 > READ_CSV,9975,2,-302.334,21977,52.233700,37769,0.195
20:22:29.059 > READ_CSV,9975,3,-1397.048,0,52.233700,0,0.195
20:22:29.078 > READ_CSV,9987,1,-2490.729,22267,52.233700,152367,0.210
20:22:29.078 > READ_CSV,9987,2,-303.980,21891,52.233700,37769,0.210
20:22:29.078 > READ_CSV,9987,3,-1397.355,0,52.233700,0,0.210
20:22:29.100 > READ_CSV,10011,1,-2497.181,21930,52.233700,152367,0.210
20:22:29.100 > READ_CSV,10011,2,-304.076,21886,52.233700,37769,0.210
20:22:29.100 > READ_CSV,10011,3,-1400.628,0,52.233700,0,0.210
20:22:29.100 > READ_CSV,10011,1,-2496.013,21991,52.233700,152367,0.225
20:22:29.100 > READ_CSV,10011,2,-723.096,-1,52.233700,37769,0.225
20:22:29.100 > READ_CSV,10011,3,-1609.555,0,52.233700,0,0.225
20:22:29.123 > READ_CSV,10034,1,-2500.225,21771,52.233700,152367,0.225
20:22:29.125 > READ_CSV,10034,2,-305.148,21830,52.233700,37769,0.225
20:22:29.125 > READ_CSV,10034,3,-1402.686,0,52.233700,0,0.225
20:22:29.137 > READ_CSV,10045,1,-2494.596,22065,52.233700,152367,0.240
20:22:29.137 > READ_CSV,10045,2,-723.096,-1,52.233700,37769,0.240
20:22:29.137 > READ_CSV,10045,3,-1608.846,0,52.233700,0,0.240
20:22:29.143 > READ_CSV,10057,1,-2491.112,22247,52.233700,152367,0.240
20:22:29.143 > READ_CSV,10057,2,-303.348,21924,52.233700,37769,0.240
20:22:29.143 > READ_CSV,10057,3,-1397.230,0,52.233700,0,0.240
20:22:29.158 > READ_CSV,10069,1,-2495.707,22007,52.233700,152367,0.255
20:22:29.161 > READ_CSV,10069,2,-723.096,-1,52.233700,37769,0.255
20:22:29.161 > READ_CSV,10069,3,-1609.402,0,52.233700,0,0.255
20:22:29.171 > READ_CSV,10081,1,-2494.003,22096,52.233700,152367,0.255
20:22:29.171 > READ_CSV,10081,2,-302.640,21961,52.233700,37769,0.255
20:22:29.171 > READ_CSV,10081,3,-1398.321,0,52.233700,0,0.255
20:22:29.187 > READ_CSV,10096,1,-2492.433,22178,52.233700,152367,0.270
20:22:29.188 > READ_CSV,10096,2,-304.784,21849,52.233700,37769,0.270
20:22:29.188 > READ_CSV,10096,3,-1398.609,0,52.233700,0,0.270
20:22:29.209 > READ_CSV,10120,1,-2495.937,21995,52.233700,152367,0.270
20:22:29.209 > READ_CSV,10120,2,-305.205,21827,52.233700,37769,0.270
20:22:29.209 > READ_CSV,10120,3,-1400.571,0,52.233700,0,0.270
20:22:29.235 > READ_CSV,10144,1,-2482.918,22675,52.233700,152367,0.285
20:22:29.235 > READ_CSV,10144,2,-305.760,21798,52.233700,37769,0.285
20:22:29.235 > READ_CSV,10144,3,-1394.339,0,52.233700,0,0.285
20:22:29.250 > READ_CSV,10159,1,-2340.730,30102,52.233700,152367,0.300
20:22:29.250 > READ_CSV,10159,2,-723.096,-1,52.233700,37769,0.300
20:22:29.250 > READ_CSV,10159,3,-1531.913,0,52.233700,0,0.300
20:22:29.261 > READ_CSV,10171,1,-2462.433,23745,52.233700,152367,0.300
20:22:29.261 > READ_CSV,10171,2,-303.329,21925,52.233700,37769,0.300
20:22:29.261 > READ_CSV,10171,3,-1382.881,0,52.233700,0,0.300
20:22:29.282 > READ_CSV,10192,1,-2475.758,23049,52.233700,152367,0.315
20:22:29.282 > READ_CSV,10192,2,-302.946,21945,52.233700,37769,0.315
20:22:29.282 > READ_CSV,10192,3,-1389.352,0,52.233700,0,0.315
