23:50:07.581 > Starting HX711 dual-example (Teensy + Adafruit HX711)
23:50:07.581 > Scale 1 is busy...
23:50:07.581 > Scale 2 is busy...
23:50:07.587 > Scale 1 is busy...
23:50:07.587 > Scale 2 is busy...
23:50:07.599 > Scale 1 is busy...
23:50:07.599 > Scale 2 is busy...
23:50:07.610 > Scale 1 is busy...
23:50:07.610 > Scale 2 is busy...
23:50:07.622 > Scale 1 is busy...
23:50:07.622 > Scale 2 is busy...
23:50:07.631 > Scale 1 is busy...
23:50:07.631 > Scale 2 is busy...
23:50:07.642 > Scale 1 is busy...
23:50:07.642 > Scale 2 is busy...
23:50:07.665 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
23:50:07.665 > 
23:50:07.665 > Calibration complete. Readings follow...
23:50:23.113 > [char] Starting throttle ramp to 0.40 then back to 0
23:50:23.113 > READ_CSV,19943,1,-847.805,108083,52.233700,152367,0.000
23:50:23.113 > READ_CSV,19943,2,-766.268,-2256,52.233700,37769,0.000
23:50:23.113 > READ_CSV,19943,3,-807.036,0,52.233700,0,0.000
23:50:23.126 > READ_CSV,19955,1,-846.714,108140,52.233700,152367,0.000
23:50:23.126 > READ_CSV,19955,2,-768.240,-2359,52.233700,37769,0.000
23:50:23.126 > READ_CSV,19955,3,-807.477,0,52.233700,0,0.000
23:50:23.138 > READ_CSV,19968,1,-844.168,108273,52.233700,152367,0.002
23:50:23.138 > READ_CSV,19968,2,-763.645,-2119,52.233700,37769,0.002
23:50:23.138 > READ_CSV,19968,3,-803.906,0,52.233700,0,0.002
23:50:23.149 > READ_CSV,19980,1,-844.857,108237,52.233700,152367,0.002
23:50:23.149 > READ_CSV,19980,2,-760.275,-1943,52.233700,37769,0.002
23:50:23.149 > READ_CSV,19980,3,-802.566,0,52.233700,0,0.002
23:50:23.163 > READ_CSV,19993,1,-853.625,107779,52.233700,152367,0.003
23:50:23.163 > READ_CSV,19993,2,-766.191,-2252,52.233700,37769,0.003
23:50:23.163 > READ_CSV,19993,3,-809.908,0,52.233700,0,0.003
23:50:23.176 > READ_CSV,20005,1,-855.616,107675,52.233700,152367,0.003
23:50:23.176 > READ_CSV,20005,2,-772.643,-2589,52.233700,37769,0.003
23:50:23.176 > READ_CSV,20005,3,-814.130,0,52.233700,0,0.003
23:50:23.187 > READ_CSV,20018,1,-855.310,107691,52.233700,152367,0.004
23:50:23.187 > READ_CSV,20018,2,-780.741,-3012,52.233700,37769,0.004
23:50:23.187 > READ_CSV,20018,3,-818.026,0,52.233700,0,0.004
23:50:23.199 > READ_CSV,20030,1,-856.286,107640,52.233700,152367,0.004
23:50:23.199 > READ_CSV,20030,2,-779.363,-2940,52.233700,37769,0.004
23:50:23.199 > READ_CSV,20030,3,-817.824,0,52.233700,0,0.004
23:50:23.212 > READ_CSV,20043,1,-854.008,107759,52.233700,152367,0.006
23:50:23.212 > READ_CSV,20043,2,-762.707,-2070,52.233700,37769,0.006
23:50:23.212 > READ_CSV,20043,3,-808.357,0,52.233700,0,0.006
23:50:23.225 > READ_CSV,20055,1,-850.734,107930,52.233700,152367,0.006
23:50:23.225 > READ_CSV,20055,2,-759.433,-1899,52.233700,37769,0.006
23:50:23.225 > READ_CSV,20055,3,-805.084,0,52.233700,0,0.006
23:50:23.237 > READ_CSV,20068,1,-846.982,108126,52.233700,152367,0.008
23:50:23.238 > READ_CSV,20068,2,-760.295,-1944,52.233700,37769,0.008
23:50:23.238 > READ_CSV,20068,3,-803.638,0,52.233700,0,0.008
23:50:23.250 > READ_CSV,20080,1,-849.011,108020,52.233700,152367,0.008
23:50:23.267 > READ_CSV,20080,2,-766.115,-2248,52.233700,37769,0.008
23:50:23.267 > READ_CSV,20080,3,-807.563,0,52.233700,0,0.008
23:50:23.267 > READ_CSV,20093,1,-846.790,108136,52.233700,152367,0.009
23:50:23.267 > READ_CSV,20093,2,-767.397,-2315,52.233700,37769,0.009
23:50:23.267 > READ_CSV,20093,3,-807.094,0,52.233700,0,0.009
23:50:23.275 > READ_CSV,20105,1,-847.901,108078,52.233700,152367,0.009
23:50:23.275 > READ_CSV,20105,2,-763.798,-2127,52.233700,37769,0.009
23:50:23.275 > READ_CSV,20105,3,-805.849,0,52.233700,0,0.009
23:50:23.288 > READ_CSV,20118,1,-849.011,108020,52.233700,152367,0.011
23:50:23.288 > READ_CSV,20118,2,-762.439,-2056,52.233700,37769,0.011
23:50:23.288 > READ_CSV,20118,3,-805.725,0,52.233700,0,0.011
23:50:23.299 > READ_CSV,20130,1,-850.256,107955,52.233700,152367,0.011
