17:44:57.014 > Starting HX711 dual-example (Teensy + Adafruit HX711)
17:44:57.026 > Scale 1 is busy...
17:44:57.026 > Scale 2 is busy...
17:44:57.032 > Scale 1 is busy...
17:44:57.032 > Scale 2 is busy...
17:44:57.046 > Scale 1 is busy...
17:44:57.046 > Scale 2 is busy...
17:44:57.056 > Scale 1 is busy...
17:44:57.056 > Scale 2 is busy...
17:44:57.066 > Scale 1 is busy...
17:44:57.066 > Scale 2 is busy...
17:44:57.076 > Scale 1 is busy...
17:44:57.076 > Scale 2 is busy...
17:44:57.080 > Scale 1 is busy...
17:44:57.080 > Scale 2 is busy...
17:44:57.106 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
17:44:57.106 > Calibrating both scales together:
17:45:10.392 > Tare1 raw = 106915
17:45:10.393 > Tare2 raw = 37636
17:45:10.393 > 
17:45:10.393 > Calibration complete. Readings follow...
17:45:12.840 > [char] Starting throttle ramp to 0.40 then back to 0
17:45:12.840 > READ_CSV,20749,1,1012.507,159802,52.233700,106915,0.000
17:45:12.840 > READ_CSV,20749,2,2.163,37749,52.233700,37636,0.000
17:45:12.840 > READ_CSV,20749,3,507.335,0,52.233700,0,0.000
17:45:12.849 > READ_CSV,20762,1,1014.115,159886,52.233700,106915,0.000
17:45:12.856 > READ_CSV,20762,2,0.766,37676,52.233700,37636,0.000
17:45:12.856 > READ_CSV,20762,3,507.441,0,52.233700,0,0.000
17:45:12.865 > READ_CSV,20774,1,1016.298,160000,52.233700,106915,0.015
17:45:12.865 > READ_CSV,20774,2,0.345,37654,52.233700,37636,0.015
17:45:12.865 > READ_CSV,20774,3,508.321,0,52.233700,0,0.015
17:45:12.878 > READ_CSV,20787,1,1011.110,159729,52.233700,106915,0.015
17:45:12.878 > READ_CSV,20787,2,0.038,37638,52.233700,37636,0.015
17:45:12.878 > READ_CSV,20787,3,505.574,0,52.233700,0,0.015
17:45:12.892 > READ_CSV,20799,1,1008.985,159618,52.233700,106915,0.030
17:45:12.892 > READ_CSV,20799,2,-2.546,37503,52.233700,37636,0.030
