19:10:08.089 > Starting HX711 dual-example (Teensy + Adafruit HX711)
19:10:08.089 > Scale 1 is busy...
19:10:08.089 > Scale 2 is busy...
19:10:08.089 > Scale 1 is busy...
19:10:08.089 > Scale 2 is busy...
19:10:08.110 > Scale 1 is busy...
19:10:08.112 > Scale 2 is busy...
19:10:08.121 > Scale 1 is busy...
19:10:08.122 > Scale 2 is busy...
19:10:08.130 > Scale 1 is busy...
19:10:08.130 > Scale 2 is busy...
19:10:08.138 > Scale 1 is busy...
19:10:08.138 > Scale 2 is busy...
19:10:08.146 > Scale 1 is busy...
19:10:08.146 > Scale 2 is busy...
19:10:08.171 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
19:10:08.171 > 
19:10:08.171 > Calibration complete. Readings follow...
19:15:44.575 > [char] Starting throttle ramp to 0.40 then back to 0
19:15:44.575 > READ_CSV,348219,1,75.430,156307,52.233700,152367,0.000
19:15:44.575 > READ_CSV,348219,2,62.259,41021,52.233700,37769,0.000
19:15:44.575 > READ_CSV,348219,3,68.844,0,52.233700,0,0.000
19:15:44.591 > READ_CSV,348232,1,73.133,156187,52.233700,152367,0.000
19:15:44.591 > READ_CSV,348232,2,60.957,40953,52.233700,37769,0.000
19:15:44.591 > READ_CSV,348232,3,67.045,0,52.233700,0,0.000
19:15:44.603 > READ_CSV,348244,1,71.314,156092,52.233700,152367,0.000
19:15:44.603 > READ_CSV,348244,2,62.795,41049,52.233700,37769,0.000
19:15:44.603 > READ_CSV,348244,3,67.054,0,52.233700,0,0.000
19:15:44.612 > READ_CSV,348257,1,72.310,156144,52.233700,152367,0.000
19:15:44.612 > READ_CSV,348257,2,66.547,41245,52.233700,37769,0.000
19:15:44.612 > READ_CSV,348257,3,69.428,0,52.233700,0,0.000
19:15:44.627 > READ_CSV,348269,1,73.056,156183,52.233700,152367,0.001
19:15:44.627 > READ_CSV,348269,2,66.547,41245,52.233700,37769,0.001
19:15:44.627 > READ_CSV,348269,3,69.802,0,52.233700,0,0.001
19:15:44.635 > READ_CSV,348282,1,69.342,155989,52.233700,152367,0.001
19:15:44.635 > READ_CSV,348282,2,67.409,41290,52.233700,37769,0.001
19:15:44.635 > READ_CSV,348282,3,68.375,0,52.233700,0,0.001
19:15:44.652 > READ_CSV,348294,1,68.978,155970,52.233700,152367,0.001
19:15:44.652 > READ_CSV,348294,2,65.724,41202,52.233700,37769,0.001
19:15:44.652 > READ_CSV,348294,3,67.351,0,52.233700,0,0.001
19:15:44.660 > READ_CSV,348307,1,71.104,156081,52.233700,152367,0.001
19:15:44.660 > READ_CSV,348307,2,66.528,41244,52.233700,37769,0.001
19:15:44.660 > READ_CSV,348307,3,68.816,0,52.233700,0,0.001
19:15:44.678 > READ_CSV,348319,1,70.012,156024,52.233700,152367,0.001
19:15:44.678 > READ_CSV,348319,2,67.236,41281,52.233700,37769,0.001
19:15:44.678 > READ_CSV,348319,3,68.624,0,52.233700,0,0.001
19:15:44.691 > READ_CSV,348332,1,71.218,156087,52.233700,152367,0.001
19:15:44.691 > READ_CSV,348332,2,64.211,41123,52.233700,37769,0.001
19:15:44.691 > READ_CSV,348332,3,67.715,0,52.233700,0,0.001
19:15:44.701 > READ_CSV,348344,1,72.597,156159,52.233700,152367,0.001
19:15:44.701 > READ_CSV,348344,2,64.556,41141,52.233700,37769,0.001
19:15:44.701 > READ_CSV,348344,3,68.576,0,52.233700,0,0.001
19:15:44.712 > READ_CSV,348357,1,70.567,156053,52.233700,152367,0.001
19:15:44.712 > READ_CSV,348357,2,65.092,41169,52.233700,37769,0.001
19:15:44.712 > READ_CSV,348357,3,67.830,0,52.233700,0,0.001
19:15:44.727 > READ_CSV,348369,1,67.523,155894,52.233700,152367,0.002
19:15:44.727 > READ_CSV,348369,2,64.231,41124,52.233700,37769,0.002
19:15:44.727 > READ_CSV,348369,3,65.877,0,52.233700,0,0.002
19:15:44.741 > READ_CSV,348382,1,70.874,156069,52.233700,152367,0.002
19:15:44.742 > READ_CSV,348382,2,65.130,41171,52.233700,37769,0.002
19:15:44.742 > READ_CSV,348382,3,68.002,0,52.233700,0,0.002
19:15:44.752 > READ_CSV,348394,1,71.774,156116,52.233700,152367,0.002
19:15:44.752 > READ_CSV,348394,2,65.226,41176,52.233700,37769,0.002
19:15:44.752 > READ_CSV,348394,3,68.500,0,52.233700,0,0.002
19:15:44.766 > READ_CSV,348407,1,73.631,156213,52.233700,152367,0.002
19:15:44.767 > READ_CSV,348407,2,65.666,41199,52.233700,37769,0.002
19:15:44.767 > READ_CSV,348407,3,69.649,0,52.233700,0,0.002
19:15:44.778 > READ_CSV,348419,1,70.261,156037,52.233700,152367,0.002
19:15:44.778 > READ_CSV,348419,2,66.432,41239,52.233700,37769,0.002
19:15:44.778 > READ_CSV,348419,3,68.347,0,52.233700,0,0.002
19:15:44.791 > READ_CSV,348432,1,69.380,155991,52.233700,152367,0.002
19:15:44.792 > READ_CSV,348432,2,66.145,41224,52.233700,37769,0.002
19:15:44.792 > READ_CSV,348432,3,67.763,0,52.233700,0,0.002
19:15:44.803 > READ_CSV,348444,1,70.567,156053,52.233700,152367,0.002
19:15:44.824 > READ_CSV,348444,2,64.747,41151,52.233700,37769,0.002
19:15:44.824 > READ_CSV,348444,3,67.657,0,52.233700,0,0.002
19:15:44.824 > READ_CSV,348457,1,72.769,156168,52.233700,152367,0.002
19:15:44.824 > READ_CSV,348457,2,67.007,41269,52.233700,37769,0.002
19:15:44.824 > READ_CSV,348457,3,69.888,0,52.233700,0,0.002
19:15:44.827 > READ_CSV,348469,1,78.589,156472,52.233700,152367,0.003
19:15:44.827 > READ_CSV,348469,2,68.079,41325,52.233700,37769,0.003
19:15:44.827 > READ_CSV,348469,3,73.334,0,52.233700,0,0.003
19:15:44.841 > READ_CSV,348482,1,73.401,156201,52.233700,152367,0.003
19:15:44.841 > READ_CSV,348482,2,65.456,41188,52.233700,37769,0.003
19:15:44.841 > READ_CSV,348482,3,69.428,0,52.233700,0,0.003
19:15:44.853 > READ_CSV,348494,1,69.438,155994,52.233700,152367,0.003
19:15:44.853 > READ_CSV,348494,2,65.724,41202,52.233700,37769,0.003
19:15:44.853 > READ_CSV,348494,3,67.581,0,52.233700,0,0.003
19:15:44.866 > READ_CSV,348507,1,71.716,156113,52.233700,152367,0.003
19:15:44.866 > READ_CSV,348507,2,65.781,41205,52.233700,37769,0.003
19:15:44.866 > READ_CSV,348507,3,68.749,0,52.233700,0,0.003
19:15:44.878 > READ_CSV,348519,1,69.495,155997,52.233700,152367,0.003
19:15:44.878 > READ_CSV,348519,2,66.605,41248,52.233700,37769,0.003
19:15:44.878 > READ_CSV,348519,3,68.050,0,52.233700,0,0.003
19:15:44.886 > READ_CSV,348532,1,69.438,155994,52.233700,152367,0.003
19:15:44.886 > READ_CSV,348532,2,65.724,41202,52.233700,37769,0.003
19:15:44.886 > READ_CSV,348532,3,67.581,0,52.233700,0,0.003
19:15:44.902 > READ_CSV,348544,1,72.578,156158,52.233700,152367,0.003
19:15:44.906 > READ_CSV,348544,2,64.231,41124,52.233700,37769,0.003
19:15:44.906 > READ_CSV,348544,3,68.404,0,52.233700,0,0.003
19:15:44.915 > READ_CSV,348557,1,68.366,155938,52.233700,152367,0.003
19:15:44.915 > READ_CSV,348557,2,60.076,40907,52.233700,37769,0.003
19:15:44.915 > READ_CSV,348557,3,64.221,0,52.233700,0,0.003
19:15:44.928 > READ_CSV,348569,1,65.532,155790,52.233700,152367,0.004
19:15:44.929 > READ_CSV,348569,2,61.321,40972,52.233700,37769,0.004
19:15:44.929 > READ_CSV,348569,3,63.426,0,52.233700,0,0.004
19:15:44.940 > READ_CSV,348582,1,64.728,155748,52.233700,152367,0.004
19:15:44.940 > READ_CSV,348582,2,65.877,41210,52.233700,37769,0.004
19:15:44.940 > READ_CSV,348582,3,65.303,0,52.233700,0,0.004
19:15:44.953 > READ_CSV,348594,1,64.901,155757,52.233700,152367,0.004
19:15:44.953 > READ_CSV,348594,2,66.547,41245,52.233700,37769,0.004
19:15:44.953 > READ_CSV,348594,3,65.724,0,52.233700,0,0.004
19:15:44.966 > READ_CSV,348607,1,70.433,156046,52.233700,152367,0.004
19:15:44.966 > READ_CSV,348607,2,66.011,41217,52.233700,37769,0.004
19:15:44.966 > READ_CSV,348607,3,68.222,0,52.233700,0,0.004
19:15:44.978 > READ_CSV,348619,1,75.066,156288,52.233700,152367,0.004
19:15:44.979 > READ_CSV,348619,2,66.547,41245,52.233700,37769,0.004
19:15:44.979 > READ_CSV,348619,3,70.807,0,52.233700,0,0.004
19:15:44.991 > READ_CSV,348632,1,74.243,156245,52.233700,152367,0.004
19:15:44.991 > READ_CSV,348632,2,64.518,41139,52.233700,37769,0.004
19:15:44.991 > READ_CSV,348632,3,69.380,0,52.233700,0,0.004
19:15:45.003 > READ_CSV,348644,1,70.682,156059,52.233700,152367,0.004
19:15:45.004 > READ_CSV,348644,2,64.479,41137,52.233700,37769,0.004
19:15:45.004 > READ_CSV,348644,3,67.581,0,52.233700,0,0.004
19:15:45.016 > READ_CSV,348657,1,71.525,156103,52.233700,152367,0.004
19:15:45.016 > READ_CSV,348657,2,66.413,41238,52.233700,37769,0.004
19:15:45.016 > READ_CSV,348657,3,68.969,0,52.233700,0,0.004
19:15:45.028 > READ_CSV,348669,1,75.832,156328,52.233700,152367,0.005
19:15:45.029 > READ_CSV,348669,2,65.303,41180,52.233700,37769,0.005
19:15:45.029 > READ_CSV,348669,3,70.567,0,52.233700,0,0.005
19:15:45.037 > READ_CSV,348682,1,77.230,156401,52.233700,152367,0.005
19:15:45.037 > READ_CSV,348682,2,67.294,41284,52.233700,37769,0.005
19:15:45.037 > READ_CSV,348682,3,72.262,0,52.233700,0,0.005
19:15:45.053 > READ_CSV,348694,1,74.837,156276,52.233700,152367,0.005
19:15:45.053 > READ_CSV,348694,2,69.208,41384,52.233700,37769,0.005
19:15:45.053 > READ_CSV,348694,3,72.022,0,52.233700,0,0.005
19:15:45.066 > READ_CSV,348707,1,71.218,156087,52.233700,152367,0.005
19:15:45.066 > READ_CSV,348707,2,66.164,41225,52.233700,37769,0.005
