10:56:36.407 > Starting HX711 dual-example (Teensy + Adafruit HX711)
10:56:36.414 > Scale 1 is busy...
10:56:36.414 > Scale 2 is busy...
10:56:36.425 > Scale 1 is busy...
10:56:36.425 > Scale 2 is busy...
10:56:36.436 > Scale 1 is busy...
10:56:36.436 > Scale 2 is busy...
10:56:36.440 > Scale 1 is busy...
10:56:36.440 > Scale 2 is busy...
10:56:36.453 > Scale 1 is busy...
10:56:36.453 > Scale 2 is busy...
10:56:36.466 > Scale 1 is busy...
10:56:36.466 > Scale 2 is busy...
10:56:36.474 > Scale 1 is busy...
10:56:36.474 > Scale 2 is busy...
10:56:36.495 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
10:56:36.495 > 
10:56:36.495 > Calibration complete. Readings follow...
10:57:33.596 > [char] Starting throttle ramp to 0.40 then back to 0
10:57:33.596 > READ_CSV,61744,1,49.068,154930,52.233700,152367,0.000
10:57:33.596 > READ_CSV,61744,2,117.032,43882,52.233700,37769,0.000
10:57:33.596 > READ_CSV,61744,3,83.050,0,52.233700,0,0.000
10:57:33.609 > READ_CSV,61756,1,49.815,154969,52.233700,152367,0.000
10:57:33.609 > READ_CSV,61756,2,115.538,43804,52.233700,37769,0.000
10:57:33.609 > READ_CSV,61756,3,82.677,0,52.233700,0,0.000
10:57:33.622 > READ_CSV,61769,1,44.856,154710,52.233700,152367,0.002
10:57:33.623 > READ_CSV,61769,2,112.973,43670,52.233700,37769,0.002
10:57:33.623 > READ_CSV,61769,3,78.915,0,52.233700,0,0.002
10:57:33.633 > READ_CSV,61781,1,48.417,154896,52.233700,152367,0.002
10:57:33.633 > READ_CSV,61781,2,114.371,43743,52.233700,37769,0.002
10:57:33.633 > READ_CSV,61781,3,81.394,0,52.233700,0,0.002
10:57:33.647 > READ_CSV,61794,1,46.158,154778,52.233700,152367,0.003
10:57:33.647 > READ_CSV,61794,2,114.734,43762,52.233700,37769,0.003
10:57:33.647 > READ_CSV,61794,3,80.446,0,52.233700,0,0.003
10:57:33.659 > READ_CSV,61806,1,44.454,154689,52.233700,152367,0.003
10:57:33.659 > READ_CSV,61806,2,116.879,43874,52.233700,37769,0.003
10:57:33.659 > READ_CSV,61806,3,80.666,0,52.233700,0,0.003
10:57:33.664 > READ_CSV,61819,1,46.981,154821,52.233700,152367,0.004
10:57:33.664 > READ_CSV,61819,2,119.023,43986,52.233700,37769,0.004
10:57:33.664 > READ_CSV,61819,3,83.002,0,52.233700,0,0.004
10:57:33.681 > READ_CSV,61831,1,48.168,154883,52.233700,152367,0.004
10:57:33.681 > READ_CSV,61831,2,118.984,43984,52.233700,37769,0.004
10:57:33.681 > READ_CSV,61831,3,83.576,0,52.233700,0,0.004
10:57:33.690 > READ_CSV,61844,1,46.751,154809,52.233700,152367,0.006
10:57:33.697 > READ_CSV,61844,2,114.103,43729,52.233700,37769,0.006
10:57:33.697 > READ_CSV,61844,3,80.427,0,52.233700,0,0.006
10:57:33.707 > READ_CSV,61856,1,50.523,155006,52.233700,152367,0.006
10:57:33.707 > READ_CSV,61856,2,113.777,43712,52.233700,37769,0.006
10:57:33.707 > READ_CSV,61856,3,82.150,0,52.233700,0,0.006
10:57:33.717 > READ_CSV,61869,1,49.355,154945,52.233700,152367,0.008
10:57:33.723 > READ_CSV,61869,2,114.581,43754,52.233700,37769,0.008
10:57:33.723 > READ_CSV,61869,3,81.968,0,52.233700,0,0.008
10:57:33.732 > READ_CSV,61881,1,47.881,154868,52.233700,152367,0.008
10:57:33.732 > READ_CSV,61881,2,118.602,43964,52.233700,37769,0.008
10:57:33.732 > READ_CSV,61881,3,83.241,0,52.233700,0,0.008
10:57:33.740 > READ_CSV,61894,1,45.239,154730,52.233700,152367,0.009
10:57:33.748 > READ_CSV,61894,2,115.251,43789,52.233700,37769,0.009
10:57:33.748 > READ_CSV,61894,3,80.245,0,52.233700,0,0.009
10:57:33.757 > READ_CSV,61906,1,40.893,154503,52.233700,152367,0.009
10:57:33.757 > READ_CSV,61906,2,112.322,43636,52.233700,37769,0.009
10:57:33.757 > READ_CSV,61906,3,76.608,0,52.233700,0,0.009
10:57:33.765 > READ_CSV,61919,1,51.002,155031,52.233700,152367,0.011
10:57:33.773 > READ_CSV,61919,2,112.705,43656,52.233700,37769,0.011
10:57:33.773 > READ_CSV,61919,3,81.853,0,52.233700,0,0.011
10:57:33.782 > READ_CSV,61931,1,52.725,155121,52.233700,152367,0.011
10:57:33.782 > READ_CSV,61931,2,110.350,43533,52.233700,37769,0.011
10:57:33.782 > READ_CSV,61931,3,81.537,0,52.233700,0,0.011
10:57:33.795 > READ_CSV,61944,1,48.685,154910,52.233700,152367,0.012
10:57:33.797 > READ_CSV,61944,2,111.863,43612,52.233700,37769,0.012
10:57:33.797 > READ_CSV,61944,3,80.274,0,52.233700,0,0.012
10:57:33.809 > READ_CSV,61956,1,48.398,154895,52.233700,152367,0.012
10:57:33.809 > READ_CSV,61956,2,114.351,43742,52.233700,37769,0.012
10:57:33.809 > READ_CSV,61956,3,81.375,0,52.233700,0,0.012
10:57:33.822 > READ_CSV,61969,1,46.579,154800,52.233700,152367,0.014
10:57:33.822 > READ_CSV,61969,2,113.892,43718,52.233700,37769,0.014
10:57:33.822 > READ_CSV,61969,3,80.236,0,52.233700,0,0.014
10:57:33.832 > READ_CSV,61981,1,46.120,154776,52.233700,152367,0.014
10:57:33.832 > READ_CSV,61981,2,115.902,43823,52.233700,37769,0.014
10:57:33.832 > READ_CSV,61981,3,81.011,0,52.233700,0,0.014
10:57:33.840 > READ_CSV,61994,1,43.420,154635,52.233700,152367,0.015
10:57:33.840 > READ_CSV,61994,2,113.873,43717,52.233700,37769,0.015
10:57:33.840 > READ_CSV,61994,3,78.647,0,52.233700,0,0.015
10:57:33.857 > READ_CSV,62006,1,44.282,154680,52.233700,152367,0.015
10:57:33.857 > READ_CSV,62006,2,113.394,43692,52.233700,37769,0.015
10:57:33.857 > READ_CSV,62006,3,78.838,0,52.233700,0,0.015
10:57:33.870 > READ_CSV,62019,1,47.383,154842,52.233700,152367,0.017
10:57:33.870 > READ_CSV,62019,2,113.720,43709,52.233700,37769,0.017
10:57:33.870 > READ_CSV,62019,3,80.551,0,52.233700,0,0.017
10:57:33.882 > READ_CSV,62031,1,48.321,154891,52.233700,152367,0.017
10:57:33.882 > READ_CSV,62031,2,115.845,43820,52.233700,37769,0.017
10:57:33.882 > READ_CSV,62031,3,82.083,0,52.233700,0,0.017
10:57:33.890 > READ_CSV,62044,1,43.880,154659,52.233700,152367,0.018
10:57:33.890 > READ_CSV,62044,2,115.213,43787,52.233700,37769,0.018
10:57:33.890 > READ_CSV,62044,3,79.546,0,52.233700,0,0.018
10:57:33.909 > READ_CSV,62056,1,48.398,154895,52.233700,152367,0.018
10:57:33.909 > READ_CSV,62056,2,118.889,43979,52.233700,37769,0.018
10:57:33.909 > READ_CSV,62056,3,83.643,0,52.233700,0,0.018
10:57:33.921 > READ_CSV,62069,1,50.848,155023,52.233700,152367,0.020
10:57:33.921 > READ_CSV,62069,2,115.787,43817,52.233700,37769,0.020
10:57:33.921 > READ_CSV,62069,3,83.318,0,52.233700,0,0.020
10:57:33.934 > READ_CSV,62081,1,50.868,155024,52.233700,152367,0.020
10:57:33.934 > READ_CSV,62081,2,113.777,43712,52.233700,37769,0.020
