23:51:52.738 > Starting HX711 dual-example (Teensy + Adafruit HX711)
23:51:52.740 > Scale 1 is busy...
23:51:52.740 > Scale 2 is busy...
23:51:52.750 > Scale 1 is busy...
23:51:52.750 > Scale 2 is busy...
23:51:52.760 > Scale 1 is busy...
23:51:52.760 > Scale 2 is busy...
23:51:52.770 > Scale 1 is busy...
23:51:52.770 > Scale 2 is busy...
23:51:52.779 > Scale 1 is busy...
23:51:52.779 > Scale 2 is busy...
23:51:52.790 > Scale 1 is busy...
23:51:52.790 > Scale 2 is busy...
23:51:52.798 > Scale 1 is busy...
23:51:52.798 > Scale 2 is busy...
23:51:52.823 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
23:51:52.823 > 
23:51:52.823 > Calibration complete. Readings follow...
23:52:01.321 > [char] Starting throttle ramp to 0.40 then back to 0
23:52:01.321 > READ_CSV,13103,1,-851.347,107898,52.233700,152367,0.000
23:52:01.321 > READ_CSV,13103,2,-768.010,-2347,52.233700,37769,0.000
23:52:01.321 > READ_CSV,13103,3,-809.678,0,52.233700,0,0.000
23:52:01.326 > READ_CSV,13115,1,-850.428,107946,52.233700,152367,0.000
23:52:01.326 > READ_CSV,13115,2,-773.504,-2634,52.233700,37769,0.000
23:52:01.326 > READ_CSV,13115,3,-811.966,0,52.233700,0,0.000
23:52:01.345 > READ_CSV,13128,1,-849.184,108011,52.233700,152367,0.002
23:52:01.345 > READ_CSV,13128,2,-777.927,-2865,52.233700,37769,0.002
23:52:01.345 > READ_CSV,13128,3,-813.555,0,52.233700,0,0.002
23:52:01.356 > READ_CSV,13140,1,-853.070,107808,52.233700,152367,0.002
23:52:01.356 > READ_CSV,13140,2,-776.414,-2786,52.233700,37769,0.002
23:52:01.356 > READ_CSV,13140,3,-814.742,0,52.233700,0,0.002
23:52:01.368 > READ_CSV,13153,1,-849.834,107977,52.233700,152367,0.003
23:52:01.368 > READ_CSV,13153,2,-772.337,-2573,52.233700,37769,0.003
23:52:01.368 > READ_CSV,13153,3,-811.086,0,52.233700,0,0.003
23:52:01.383 > READ_CSV,13165,1,-849.758,107981,52.233700,152367,0.003
23:52:01.383 > READ_CSV,13165,2,-772.509,-2582,52.233700,37769,0.003
23:52:01.383 > READ_CSV,13165,3,-811.133,0,52.233700,0,0.003
23:52:01.392 > READ_CSV,13178,1,-852.610,107832,52.233700,152367,0.004
23:52:01.392 > READ_CSV,13178,2,-774.098,-2665,52.233700,37769,0.004
23:52:01.392 > READ_CSV,13178,3,-813.354,0,52.233700,0,0.004
23:52:01.407 > READ_CSV,13190,1,-853.223,107800,52.233700,152367,0.004
23:52:01.408 > READ_CSV,13190,2,-775.936,-2761,52.233700,37769,0.004
23:52:01.408 > READ_CSV,13190,3,-814.579,0,52.233700,0,0.004
23:52:01.420 > READ_CSV,13203,1,-849.662,107986,52.233700,152367,0.006
23:52:01.420 > READ_CSV,13203,2,-781.411,-3047,52.233700,37769,0.006
23:52:01.420 > READ_CSV,13203,3,-815.537,0,52.233700,0,0.006
23:52:01.432 > READ_CSV,13215,1,-852.208,107853,52.233700,152367,0.006
23:52:01.433 > READ_CSV,13215,2,-780.435,-2996,52.233700,37769,0.006
23:52:01.433 > READ_CSV,13215,3,-816.322,0,52.233700,0,0.006
23:52:01.442 > READ_CSV,13228,1,-855.808,107665,52.233700,152367,0.008
23:52:01.442 > READ_CSV,13228,2,-774.615,-2692,52.233700,37769,0.008
23:52:01.442 > READ_CSV,13228,3,-815.211,0,52.233700,0,0.008
23:52:01.457 > READ_CSV,13240,1,-853.300,107796,52.233700,152367,0.008
23:52:01.458 > READ_CSV,13240,2,-773.543,-2636,52.233700,37769,0.008
23:52:01.458 > READ_CSV,13240,3,-813.421,0,52.233700,0,0.008
23:52:01.467 > READ_CSV,13253,1,-850.715,107931,52.233700,152367,0.009
23:52:01.467 > READ_CSV,13253,2,-771.226,-2515,52.233700,37769,0.009
23:52:01.467 > READ_CSV,13253,3,-810.971,0,52.233700,0,0.009
23:52:01.483 > READ_CSV,13265,1,-850.696,107932,52.233700,152367,0.009
23:52:01.483 > READ_CSV,13265,2,-776.836,-2808,52.233700,37769,0.009
23:52:01.483 > READ_CSV,13265,3,-813.766,0,52.233700,0,0.009
23:52:01.492 > READ_CSV,13278,1,-850.064,107965,52.233700,152367,0.011
23:52:01.492 > READ_CSV,13278,2,-776.759,-2804,52.233700,37769,0.011
23:52:01.492 > READ_CSV,13278,3,-813.412,0,52.233700,0,0.011
23:52:01.508 > READ_CSV,13290,1,-852.362,107845,52.233700,152367,0.011
23:52:01.508 > READ_CSV,13290,2,-777.314,-2833,52.233700,37769,0.011
23:52:01.508 > READ_CSV,13290,3,-814.838,0,52.233700,0,0.011
23:52:01.517 > READ_CSV,13303,1,-851.155,107908,52.233700,152367,0.012
23:52:01.517 > READ_CSV,13303,2,-774.538,-2688,52.233700,37769,0.012
23:52:01.517 > READ_CSV,13303,3,-812.847,0,52.233700,0,0.012
23:52:01.533 > READ_CSV,13315,1,-853.893,107765,52.233700,152367,0.012
23:52:01.533 > READ_CSV,13315,2,-764.315,-2154,52.233700,37769,0.012
23:52:01.533 > READ_CSV,13315,3,-809.104,0,52.233700,0,0.012
23:52:01.544 > READ_CSV,13328,1,-848.916,108025,52.233700,152367,0.014
23:52:01.544 > READ_CSV,13328,2,-755.394,-1688,52.233700,37769,0.014
23:52:01.544 > READ_CSV,13328,3,-802.155,0,52.233700,0,0.014
23:52:01.558 > READ_CSV,13340,1,-845.661,108195,52.233700,152367,0.014
23:52:01.558 > READ_CSV,13340,2,-751.737,-1497,52.233700,37769,0.014
23:52:01.558 > READ_CSV,13340,3,-798.699,0,52.233700,0,0.014
23:52:01.569 > READ_CSV,13353,1,-843.938,108285,52.233700,152367,0.015
23:52:01.571 > READ_CSV,13353,2,-756.427,-1742,52.233700,37769,0.015
23:52:01.571 > READ_CSV,13353,3,-800.183,0,52.233700,0,0.015
23:52:01.583 > READ_CSV,13365,1,-841.066,108435,52.233700,152367,0.015
23:52:01.583 > READ_CSV,13365,2,-760.237,-1941,52.233700,37769,0.015
23:52:01.583 > READ_CSV,13365,3,-800.652,0,52.233700,0,0.015
23:52:01.594 > READ_CSV,13378,1,-845.680,108194,52.233700,152367,0.017
23:52:01.594 > READ_CSV,13378,2,-767.072,-2298,52.233700,37769,0.017
23:52:01.594 > READ_CSV,13378,3,-806.376,0,52.233700,0,0.017
23:52:01.608 > READ_CSV,13390,1,-850.619,107936,52.233700,152367,0.017
23:52:01.608 > READ_CSV,13390,2,-777.008,-2817,52.233700,37769,0.017
23:52:01.608 > READ_CSV,13390,3,-813.814,0,52.233700,0,0.017
23:52:01.620 > READ_CSV,13403,1,-852.285,107849,52.233700,152367,0.018
23:52:01.620 > READ_CSV,13403,2,-785.987,-3286,52.233700,37769,0.018
23:52:01.620 > READ_CSV,13403,3,-819.136,0,52.233700,0,0.018
23:52:01.633 > READ_CSV,13415,1,-855.961,107657,52.233700,152367,0.018
23:52:01.633 > READ_CSV,13415,2,-782.924,-3126,52.233700,37769,0.018
23:52:01.633 > READ_CSV,13415,3,-819.442,0,52.233700,0,0.018
23:52:01.645 > READ_CSV,13428,1,-857.799,107561,52.233700,152367,0.020
23:52:01.646 > READ_CSV,13428,2,-781.105,-3031,52.233700,37769,0.020
23:52:01.646 > READ_CSV,13428,3,-819.452,0,52.233700,0,0.020
23:52:01.651 > READ_CSV,13440,1,-859.464,107474,52.233700,152367,0.020
23:52:01.658 > READ_CSV,13440,2,-785.757,-3274,52.233700,37769,0.020
23:52:01.658 > READ_CSV,13440,3,-822.611,0,52.233700,0,0.020
23:52:01.667 > READ_CSV,13453,1,-855.501,107681,52.233700,152367,0.021
