20:45:42.841 > Starting HX711 dual-example (Teensy + Adafruit HX711)
20:45:42.841 > Scale 1 is busy...
20:45:42.848 > Scale 2 is busy...
20:45:42.858 > Scale 1 is busy...
20:45:42.858 > Scale 2 is busy...
20:45:42.868 > Scale 1 is busy...
20:45:42.868 > Scale 2 is busy...
20:45:42.878 > Scale 1 is busy...
20:45:42.878 > Scale 2 is busy...
20:45:42.884 > Scale 1 is busy...
20:45:42.884 > Scale 2 is busy...
20:45:42.892 > Scale 1 is busy...
20:45:42.892 > Scale 2 is busy...
20:45:42.908 > Scale 1 is busy...
20:45:42.908 > Scale 2 is busy...
20:45:42.926 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle,battery_voltage
20:45:42.926 > Calibrating both scales together:
20:45:49.577 > Tare1 raw = 128974
20:45:49.577 > Tare2 raw = 56276
20:45:49.577 > 
20:45:49.577 > Calibration complete. Readings follow...
20:45:55.726 > [char] Starting throttle ramp to 0.40 then back to 0
20:45:55.976 > READ_CSV,17363,1,-2469.172,0,52.233700,128974,0.010,5.091
20:45:55.976 > READ_CSV,17363,2,-1077.389,0,52.233700,56276,0.010,5.091
20:45:55.976 > READ_CSV,17363,3,-1773.281,0,52.233700,0,0.010,5.091
20:45:55.984 > READ_CSV,17376,1,-2469.172,0,52.233700,128974,0.010,5.091
20:45:55.984 > READ_CSV,17376,2,-1077.389,0,52.233700,56276,0.010,5.091
20:45:55.984 > READ_CSV,17376,3,-1773.281,0,52.233700,0,0.010,5.091
20:45:56.002 > READ_CSV,17388,1,-2469.172,0,52.233700,128974,0.011,5.099
20:45:56.002 > READ_CSV,17388,2,-1077.389,0,52.233700,56276,0.011,5.099
20:45:56.002 > READ_CSV,17388,3,-1773.281,0,52.233700,0,0.011,5.099
20:45:56.015 > READ_CSV,17401,1,-2469.172,0,52.233700,128974,0.011,5.106
20:45:56.015 > READ_CSV,17401,2,-1077.389,0,52.233700,56276,0.011,5.106
20:45:56.015 > READ_CSV,17401,3,-1773.281,0,52.233700,0,0.011,5.106
20:45:56.027 > READ_CSV,17413,1,-2469.172,0,52.233700,128974,0.012,5.120
20:45:56.027 > READ_CSV,17413,2,-1077.389,0,52.233700,56276,0.012,5.120
20:45:56.027 > READ_CSV,17413,3,-1773.281,0,52.233700,0,0.012,5.120
20:45:56.040 > READ_CSV,17426,1,-2469.172,0,52.233700,128974,0.012,5.113
20:45:56.040 > READ_CSV,17426,2,-1077.389,0,52.233700,56276,0.012,5.113
20:45:56.040 > READ_CSV,17426,3,-1773.281,0,52.233700,0,0.012,5.113
20:45:56.051 > READ_CSV,17438,1,-2469.172,0,52.233700,128974,0.013,5.120
20:45:56.053 > READ_CSV,17438,2,-1077.389,0,52.233700,56276,0.013,5.120
20:45:56.053 > READ_CSV,17438,3,-1773.281,0,52.233700,0,0.013,5.120
