11:04:25.310 > Starting HX711 dual-example (Teensy + Adafruit HX711)
11:04:25.316 > Scale 1 is busy...
11:04:25.316 > Scale 2 is busy...
11:04:25.324 > Scale 1 is busy...
11:04:25.324 > Scale 2 is busy...
11:04:25.334 > Scale 1 is busy...
11:04:25.334 > Scale 2 is busy...
11:04:25.343 > Scale 1 is busy...
11:04:25.343 > Scale 2 is busy...
11:04:25.354 > Scale 1 is busy...
11:04:25.354 > Scale 2 is busy...
11:04:25.365 > Scale 1 is busy...
11:04:25.366 > Scale 2 is busy...
11:04:25.374 > Scale 1 is busy...
11:04:25.374 > Scale 2 is busy...
11:04:25.396 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
11:04:25.396 > Calibrating both scales together:
11:04:37.103 > Tare1 raw = 154314
11:04:37.103 > Tare2 raw = 43507
11:04:37.103 > 
11:04:37.103 > Calibration complete. Readings follow...
11:04:39.200 > [char] Starting throttle ramp to 0.40 then back to 0
11:04:39.200 > READ_CSV,19041,1,0.689,154350,52.233700,154314,0.000
11:04:39.200 > READ_CSV,19041,2,-3.867,43305,52.233700,43507,0.000
11:04:39.200 > READ_CSV,19041,3,-1.589,0,52.233700,0,0.000
11:04:39.211 > READ_CSV,19053,1,4.767,154563,52.233700,154314,0.000
11:04:39.211 > READ_CSV,19053,2,-6.203,43183,52.233700,43507,0.000
11:04:39.211 > READ_CSV,19053,3,-0.718,0,52.233700,0,0.000
11:04:39.227 > READ_CSV,19066,1,1.685,154402,52.233700,154314,0.015
11:04:39.229 > READ_CSV,19066,2,-3.561,43321,52.233700,43507,0.015
11:04:39.229 > READ_CSV,19066,3,-0.938,0,52.233700,0,0.015
11:04:39.241 > READ_CSV,19078,1,-1.742,154223,52.233700,154314,0.015
11:04:39.241 > READ_CSV,19078,2,0.153,43515,52.233700,43507,0.015
11:04:39.241 > READ_CSV,19078,3,-0.795,0,52.233700,0,0.015
11:04:39.251 > READ_CSV,19091,1,-0.938,154265,52.233700,154314,0.030
11:04:39.251 > READ_CSV,19091,2,-2.431,43380,52.233700,43507,0.030
11:04:39.251 > READ_CSV,19091,3,-1.685,0,52.233700,0,0.030
11:04:39.266 > READ_CSV,19103,1,-0.708,154277,52.233700,154314,0.030
11:04:39.266 > READ_CSV,19103,2,-3.312,43334,52.233700,43507,0.030
11:04:39.266 > READ_CSV,19103,3,-2.010,0,52.233700,0,0.030
11:04:39.278 > READ_CSV,19116,1,1.972,154417,52.233700,154314,0.045
11:04:39.278 > READ_CSV,19116,2,-2.661,43368,52.233700,43507,0.045
11:04:39.278 > READ_CSV,19116,3,-0.345,0,52.233700,0,0.045
11:04:39.285 > READ_CSV,19128,1,0.708,154351,52.233700,154314,0.045
11:04:39.285 > READ_CSV,19128,2,-4.461,43274,52.233700,43507,0.045
11:04:39.285 > READ_CSV,19128,3,-1.876,0,52.233700,0,0.045
11:04:39.302 > READ_CSV,19141,1,0.842,154358,52.233700,154314,0.060
11:04:39.302 > READ_CSV,19141,2,-1.225,43443,52.233700,43507,0.060
11:04:39.302 > READ_CSV,19141,3,-0.191,0,52.233700,0,0.060
11:04:39.316 > READ_CSV,19153,1,-2.278,154195,52.233700,154314,0.060
11:04:39.316 > READ_CSV,19153,2,-1.398,43434,52.233700,43507,0.060
11:04:39.316 > READ_CSV,19153,3,-1.838,0,52.233700,0,0.060
11:04:39.326 > READ_CSV,19166,1,-1.474,154237,52.233700,154314,0.075
11:04:39.326 > READ_CSV,19166,2,-2.795,43361,52.233700,43507,0.075
11:04:39.326 > READ_CSV,19166,3,-2.135,0,52.233700,0,0.075
11:04:39.334 > READ_CSV,19178,1,2.451,154442,52.233700,154314,0.075
11:04:39.334 > READ_CSV,19178,2,-1.723,43417,52.233700,43507,0.075
11:04:39.334 > READ_CSV,19178,3,0.364,0,52.233700,0,0.075
11:04:39.352 > READ_CSV,19191,1,1.110,154372,52.233700,154314,0.090
11:04:39.352 > READ_CSV,19191,2,-1.685,43419,52.233700,43507,0.090
11:04:39.352 > READ_CSV,19191,3,-0.287,0,52.233700,0,0.090
11:04:39.366 > READ_CSV,19203,1,-5.035,154051,52.233700,154314,0.090
11:04:39.366 > READ_CSV,19203,2,0.862,43552,52.233700,43507,0.090
11:04:39.366 > READ_CSV,19203,3,-2.087,0,52.233700,0,0.090
11:04:39.377 > READ_CSV,19216,1,-2.374,154190,52.233700,154314,0.105
11:04:39.377 > READ_CSV,19216,2,3.331,43681,52.233700,43507,0.105
11:04:39.377 > READ_CSV,19216,3,0.479,0,52.233700,0,0.105
11:04:39.386 > READ_CSV,19228,1,1.130,154373,52.233700,154314,0.105
11:04:39.386 > READ_CSV,19228,2,-1.493,43429,52.233700,43507,0.105
11:04:39.386 > READ_CSV,19228,3,-0.182,0,52.233700,0,0.105
11:04:39.402 > READ_CSV,19241,1,-0.172,154305,52.233700,154314,0.120
11:04:39.402 > READ_CSV,19241,2,0.325,43524,52.233700,43507,0.120
11:04:39.402 > READ_CSV,19241,3,0.077,0,52.233700,0,0.120
11:04:39.416 > READ_CSV,19253,1,19.585,155337,52.233700,154314,0.120
11:04:39.416 > READ_CSV,19253,2,-1.991,43403,52.233700,43507,0.120
11:04:39.416 > READ_CSV,19253,3,8.797,0,52.233700,0,0.120
11:04:39.429 > READ_CSV,19266,1,9.668,154819,52.233700,154314,0.135
11:04:39.429 > READ_CSV,19266,2,-21.787,42369,52.233700,43507,0.135
11:04:39.429 > READ_CSV,19266,3,-6.059,0,52.233700,0,0.135
11:04:39.435 > READ_CSV,19278,1,1.551,154395,52.233700,154314,0.135
11:04:39.435 > READ_CSV,19278,2,-39.917,41422,52.233700,43507,0.135
11:04:39.435 > READ_CSV,19278,3,-19.183,0,52.233700,0,0.135
11:04:39.452 > READ_CSV,19291,1,55.788,157228,52.233700,154314,0.150
11:04:39.452 > READ_CSV,19291,2,12.138,44141,52.233700,43507,0.150
11:04:39.452 > READ_CSV,19291,3,33.963,0,52.233700,0,0.150
11:04:39.466 > READ_CSV,19303,1,114.026,160270,52.233700,154314,0.150
11:04:39.466 > READ_CSV,19303,2,-146.113,35875,52.233700,43507,0.150
11:04:39.466 > READ_CSV,19303,3,-16.043,0,52.233700,0,0.150
11:04:39.478 > READ_CSV,19316,1,22.342,155481,52.233700,154314,0.165
11:04:39.478 > READ_CSV,19316,2,73.324,47337,52.233700,43507,0.165
11:04:39.478 > READ_CSV,19316,3,47.833,0,52.233700,0,0.165
11:04:39.491 > READ_CSV,19328,1,61.110,157506,52.233700,154314,0.165
11:04:39.491 > READ_CSV,19328,2,-12.367,42861,52.233700,43507,0.165
11:04:39.491 > READ_CSV,19328,3,24.371,0,52.233700,0,0.165
11:04:39.504 > READ_CSV,19341,1,104.798,159788,52.233700,154314,0.180
11:04:39.504 > READ_CSV,19341,2,-99.495,38310,52.233700,43507,0.180
11:04:39.504 > READ_CSV,19341,3,2.652,0,52.233700,0,0.180
11:04:39.511 > READ_CSV,19353,1,84.467,158726,52.233700,154314,0.180
11:04:39.511 > READ_CSV,19353,2,-83.203,39161,52.233700,43507,0.180
11:04:39.511 > READ_CSV,19353,3,0.632,0,52.233700,0,0.180
11:04:39.528 > READ_CSV,19366,1,16.579,155180,52.233700,154314,0.195
11:04:39.528 > READ_CSV,19366,2,42.961,45751,52.233700,43507,0.195
11:04:39.528 > READ_CSV,19366,3,29.770,0,52.233700,0,0.195
