19:58:00.204 > Starting HX711 dual-example (Teensy + Adafruit HX711)
19:58:00.204 > Scale 1 is busy...
19:58:00.204 > Scale 2 is busy...
19:58:00.221 > Scale 1 is busy...
19:58:00.221 > Scale 2 is busy...
19:58:00.235 > Scale 1 is busy...
19:58:00.235 > Scale 2 is busy...
19:58:00.244 > Scale 1 is busy...
19:58:00.245 > Scale 2 is busy...
19:58:00.255 > Scale 1 is busy...
19:58:00.255 > Scale 2 is busy...
19:58:00.264 > Scale 1 is busy...
19:58:00.264 > Scale 2 is busy...
19:58:00.268 > Scale 1 is busy...
19:58:00.268 > Scale 2 is busy...
19:58:00.294 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
19:58:00.295 > Calibrating both scales together:
19:58:05.104 > Tare1 raw = -230910
19:58:05.104 > Tare2 raw = 39103
19:58:05.104 > 
19:58:05.104 > Calibration complete. Readings follow...
19:58:22.853 > [char] Starting throttle ramp to 0.40 then back to 0
19:58:22.853 > READ_CSV,27392,1,5683.400,65955,52.233700,-230910,0.000
19:58:22.853 > READ_CSV,27392,2,257.535,52555,52.233700,39103,0.000
19:58:22.853 > READ_CSV,27392,3,2970.467,0,52.233700,0,0.000
19:58:22.870 > READ_CSV,27407,1,5641.033,63742,52.233700,-230910,0.000
19:58:22.870 > READ_CSV,27407,2,262.379,52808,52.233700,39103,0.000
19:58:22.870 > READ_CSV,27407,3,2951.706,0,52.233700,0,0.000
19:58:22.877 > READ_CSV,27417,1,5268.917,44305,52.233700,-230910,0.015
19:58:22.877 > READ_CSV,27417,2,-748.635,-1,52.233700,39103,0.015
19:58:22.877 > READ_CSV,27417,3,2260.141,0,52.233700,0,0.015
19:58:22.903 > READ_CSV,27441,1,4934.516,26838,52.233700,-230910,0.015
19:58:22.903 > READ_CSV,27441,2,256.271,52489,52.233700,39103,0.015
19:58:22.903 > READ_CSV,27441,3,2595.394,0,52.233700,0,0.015
19:58:22.915 > READ_CSV,27455,1,4933.022,26760,52.233700,-230910,0.030
19:58:22.919 > READ_CSV,27455,2,258.167,52588,52.233700,39103,0.030
19:58:22.919 > READ_CSV,27455,3,2595.594,0,52.233700,0,0.030
19:58:22.936 > READ_CSV,27476,1,4934.841,26855,52.233700,-230910,0.030
19:58:22.936 > READ_CSV,27476,2,-748.635,-1,52.233700,39103,0.030
19:58:22.936 > READ_CSV,27476,3,2093.103,0,52.233700,0,0.030
19:58:22.948 > READ_CSV,27488,1,4935.894,26910,52.233700,-230910,0.045
19:58:22.948 > READ_CSV,27488,2,263.987,52892,52.233700,39103,0.045
19:58:22.948 > READ_CSV,27488,3,2599.940,0,52.233700,0,0.045
19:58:22.961 > READ_CSV,27500,1,4933.558,26788,52.233700,-230910,0.045
19:58:22.961 > READ_CSV,27500,2,-748.635,-1,52.233700,39103,0.045
19:58:22.961 > READ_CSV,27500,3,2092.461,0,52.233700,0,0.045
19:58:22.983 > READ_CSV,27524,1,4935.128,26870,52.233700,-230910,0.060
19:58:22.983 > READ_CSV,27524,2,257.018,52528,52.233700,39103,0.060
19:58:22.983 > READ_CSV,27524,3,2596.073,0,52.233700,0,0.060
19:58:22.994 > READ_CSV,27535,1,4932.391,26727,52.233700,-230910,0.075
19:58:22.994 > READ_CSV,27535,2,-748.635,-1,52.233700,39103,0.075
19:58:22.994 > READ_CSV,27535,3,2091.878,0,52.233700,0,0.075
19:58:23.008 > READ_CSV,27547,1,4929.289,26565,52.233700,-230910,0.075
19:58:23.010 > READ_CSV,27547,2,263.738,52879,52.233700,39103,0.075
19:58:23.010 > READ_CSV,27547,3,2596.513,0,52.233700,0,0.075
19:58:23.022 > READ_CSV,27562,1,4929.040,26552,52.233700,-230910,0.090
19:58:23.022 > READ_CSV,27562,2,260.158,52692,52.233700,39103,0.090
19:58:23.022 > READ_CSV,27562,3,2594.599,0,52.233700,0,0.090
19:58:23.029 > READ_CSV,27571,1,4937.234,26980,52.233700,-230910,0.090
19:58:23.029 > READ_CSV,27571,2,-748.635,-1,52.233700,39103,0.090
19:58:23.029 > READ_CSV,27571,3,2094.299,0,52.233700,0,0.090
19:58:23.043 > READ_CSV,27583,1,4939.244,27085,52.233700,-230910,0.105
19:58:23.043 > READ_CSV,27583,2,261.728,52774,52.233700,39103,0.105
19:58:23.043 > READ_CSV,27583,3,2600.486,0,52.233700,0,0.105
19:58:23.057 > READ_CSV,27595,1,4937.100,26973,52.233700,-230910,0.105
19:58:23.057 > READ_CSV,27595,2,-748.635,-1,52.233700,39103,0.105
19:58:23.057 > READ_CSV,27595,3,2094.232,0,52.233700,0,0.105
19:58:23.065 > READ_CSV,27606,1,4941.963,27227,52.233700,-230910,0.120
19:58:23.069 > READ_CSV,27606,2,261.115,52742,52.233700,39103,0.120
19:58:23.069 > READ_CSV,27606,3,2601.539,0,52.233700,0,0.120
19:58:23.081 > READ_CSV,27618,1,4944.375,27353,52.233700,-230910,0.120
19:58:23.081 > READ_CSV,27618,2,-748.635,-1,52.233700,39103,0.120
19:58:23.081 > READ_CSV,27618,3,2097.870,0,52.233700,0,0.120
19:58:23.093 > READ_CSV,27630,1,4939.187,27082,52.233700,-230910,0.135
19:58:23.093 > READ_CSV,27630,2,264.638,52926,52.233700,39103,0.135
19:58:23.093 > READ_CSV,27630,3,2601.912,0,52.233700,0,0.135
19:58:23.103 > READ_CSV,27642,1,4934.649,26845,52.233700,-230910,0.135
19:58:23.105 > READ_CSV,27642,2,-748.635,-1,52.233700,39103,0.135
19:58:23.105 > READ_CSV,27642,3,2093.007,0,52.233700,0,0.135
19:58:23.116 > READ_CSV,27654,1,4941.503,27203,52.233700,-230910,0.150
19:58:23.143 > READ_CSV,27654,2,261.574,52766,52.233700,39103,0.150
19:58:23.143 > READ_CSV,27654,3,2601.539,0,52.233700,0,0.150
19:58:23.143 > READ_CSV,27665,1,4939.206,27083,52.233700,-230910,0.150
19:58:23.143 > READ_CSV,27665,2,-748.635,-1,52.233700,39103,0.150
19:58:23.143 > READ_CSV,27665,3,2095.285,0,52.233700,0,0.150
19:58:23.143 > READ_CSV,27677,1,4935.052,26866,52.233700,-230910,0.165
19:58:23.143 > READ_CSV,27677,2,251.121,52220,52.233700,39103,0.165
19:58:23.143 > READ_CSV,27677,3,2593.087,0,52.233700,0,0.165
19:58:23.143 > READ_CSV,27689,1,4933.214,26770,52.233700,-230910,0.165
19:58:23.143 > READ_CSV,27689,2,-748.635,-1,52.233700,39103,0.165
19:58:23.143 > READ_CSV,27689,3,2092.289,0,52.233700,0,0.165
19:58:23.170 > READ_CSV,27713,1,4927.604,26477,52.233700,-230910,0.180
19:58:23.170 > READ_CSV,27713,2,263.240,52853,52.233700,39103,0.180
19:58:23.170 > READ_CSV,27713,3,2595.422,0,52.233700,0,0.180
19:58:23.187 > READ_CSV,27729,1,4933.175,26768,52.233700,-230910,0.180
19:58:23.187 > READ_CSV,27729,2,256.137,52482,52.233700,39103,0.180
19:58:23.187 > READ_CSV,27729,3,2594.656,0,52.233700,0,0.180
19:58:23.211 > READ_CSV,27748,1,4938.612,27052,52.233700,-230910,0.195
19:58:23.211 > READ_CSV,27748,2,-748.635,-1,52.233700,39103,0.195
19:58:23.211 > READ_CSV,27748,3,2094.989,0,52.233700,0,0.195
19:58:23.222 > READ_CSV,27760,1,4929.614,26582,52.233700,-230910,0.195
19:58:23.223 > READ_CSV,27760,2,253.572,52348,52.233700,39103,0.195
19:58:23.223 > READ_CSV,27760,3,2591.593,0,52.233700,0,0.195
19:58:23.232 > READ_CSV,27772,1,4928.408,26519,52.233700,-230910,0.210
19:58:23.232 > READ_CSV,27772,2,-748.635,-1,52.233700,39103,0.210
19:58:23.232 > READ_CSV,27772,3,2089.886,0,52.233700,0,0.210
