23:51:09.818 > Starting HX711 dual-example (Teensy + Adafruit HX711)
23:51:09.822 > Scale 1 is busy...
23:51:09.822 > Scale 2 is busy...
23:51:09.832 > Scale 1 is busy...
23:51:09.832 > Scale 2 is busy...
23:51:09.841 > Scale 1 is busy...
23:51:09.841 > Scale 2 is busy...
23:51:09.852 > Scale 1 is busy...
23:51:09.852 > Scale 2 is busy...
23:51:09.860 > Scale 1 is busy...
23:51:09.860 > Scale 2 is busy...
23:51:09.871 > Scale 1 is busy...
23:51:09.871 > Scale 2 is busy...
23:51:09.881 > Scale 1 is busy...
23:51:09.883 > Scale 2 is busy...
23:51:09.905 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
23:51:09.905 > 
23:51:09.905 > Calibration complete. Readings follow...
23:51:13.401 > [char] Starting throttle ramp to 0.40 then back to 0
23:51:13.401 > READ_CSV,8243,1,-867.026,107079,52.233700,152367,0.000
23:51:13.401 > READ_CSV,8243,2,-657.794,3410,52.233700,37769,0.000
23:51:13.401 > READ_CSV,8243,3,-762.410,0,52.233700,0,0.000
23:51:13.401 > READ_CSV,8255,1,-867.697,107044,52.233700,152367,0.000
23:51:13.416 > READ_CSV,8255,2,-661.872,3197,52.233700,37769,0.000
23:51:13.416 > READ_CSV,8255,3,-764.784,0,52.233700,0,0.000
23:51:13.426 > READ_CSV,8268,1,-871.832,106828,52.233700,152367,0.002
23:51:13.426 > READ_CSV,8268,2,-660.225,3283,52.233700,37769,0.002
23:51:13.426 > READ_CSV,8268,3,-766.028,0,52.233700,0,0.002
23:51:13.440 > READ_CSV,8280,1,-875.048,106660,52.233700,152367,0.002
23:51:13.440 > READ_CSV,8280,2,-661.527,3215,52.233700,37769,0.002
23:51:13.440 > READ_CSV,8280,3,-768.288,0,52.233700,0,0.002
23:51:13.451 > READ_CSV,8293,1,-872.349,106801,52.233700,152367,0.003
23:51:13.451 > READ_CSV,8293,2,-658.292,3384,52.233700,37769,0.003
23:51:13.451 > READ_CSV,8293,3,-765.320,0,52.233700,0,0.003
23:51:13.464 > READ_CSV,8305,1,-877.556,106529,52.233700,152367,0.003
23:51:13.464 > READ_CSV,8305,2,-658.387,3379,52.233700,37769,0.003
23:51:13.464 > READ_CSV,8305,3,-767.972,0,52.233700,0,0.003
23:51:13.475 > READ_CSV,8318,1,-877.211,106547,52.233700,152367,0.004
23:51:13.475 > READ_CSV,8318,2,-657.373,3432,52.233700,37769,0.004
23:51:13.475 > READ_CSV,8318,3,-767.292,0,52.233700,0,0.004
23:51:13.485 > READ_CSV,8330,1,-870.511,106897,52.233700,152367,0.004
23:51:13.490 > READ_CSV,8330,2,-657.430,3429,52.233700,37769,0.004
23:51:13.490 > READ_CSV,8330,3,-763.970,0,52.233700,0,0.004
23:51:13.500 > READ_CSV,8343,1,-866.701,107096,52.233700,152367,0.006
23:51:13.500 > READ_CSV,8343,2,-659.938,3298,52.233700,37769,0.006
23:51:13.500 > READ_CSV,8343,3,-763.319,0,52.233700,0,0.006
23:51:13.510 > READ_CSV,8355,1,-870.549,106895,52.233700,152367,0.006
