20:21:16.745 > Starting HX711 dual-example (Teensy + Adafruit HX711)
20:21:16.752 > Scale 1 is busy...
20:21:16.752 > Scale 2 is busy...
20:21:16.762 > Scale 1 is busy...
20:21:16.762 > Scale 2 is busy...
20:21:16.769 > Scale 1 is busy...
20:21:16.769 > Scale 2 is busy...
20:21:16.780 > Scale 1 is busy...
20:21:16.783 > Scale 2 is busy...
20:21:16.792 > Scale 1 is busy...
20:21:16.792 > Scale 2 is busy...
20:21:16.802 > Scale 1 is busy...
20:21:16.802 > Scale 2 is busy...
20:21:16.810 > Scale 1 is busy...
20:21:16.810 > Scale 2 is busy...
20:21:16.827 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle,battery_voltage
20:21:16.827 > Calibrating both scales together:
20:21:20.334 > Tare1 raw = 138357
20:21:20.334 > Tare2 raw = 52875
20:21:20.334 > 
20:21:20.334 > Calibration complete. Readings follow...
20:21:24.231 > [char] Starting throttle ramp to 0.40 then back to 0
20:21:24.237 > READ_CSV,20246,1,-2648.807,0,52.233700,138357,0.000,3.844
20:21:24.237 > READ_CSV,20246,2,-1012.278,0,52.233700,52875,0.000,3.844
20:21:24.237 > READ_CSV,20246,3,-1830.542,0,52.233700,0,0.000,3.844
20:21:24.246 > READ_CSV,20258,1,-2648.807,0,52.233700,138357,0.000,4.547
20:21:24.246 > READ_CSV,20258,2,-1012.278,0,52.233700,52875,0.000,4.547
20:21:24.246 > READ_CSV,20258,3,-1830.542,0,52.233700,0,0.000,4.547
20:21:24.255 > READ_CSV,20271,1,-2648.807,0,52.233700,138357,0.015,4.671
20:21:24.255 > READ_CSV,20271,2,-1012.278,0,52.233700,52875,0.015,4.671
20:21:24.255 > READ_CSV,20271,3,-1830.542,0,52.233700,0,0.015,4.671
20:21:24.272 > READ_CSV,20283,1,-2648.807,0,52.233700,138357,0.015,4.685
20:21:24.272 > READ_CSV,20283,2,-1012.278,0,52.233700,52875,0.015,4.685
20:21:24.272 > READ_CSV,20283,3,-1830.542,0,52.233700,0,0.015,4.685
20:21:24.280 > READ_CSV,20296,1,-2648.807,0,52.233700,138357,0.030,4.707
20:21:24.280 > READ_CSV,20296,2,-1012.278,0,52.233700,52875,0.030,4.707
20:21:24.280 > READ_CSV,20296,3,-1830.542,0,52.233700,0,0.030,4.707
20:21:24.297 > READ_CSV,20308,1,-2648.807,0,52.233700,138357,0.030,4.707
20:21:24.297 > READ_CSV,20308,2,-1012.278,0,52.233700,52875,0.030,4.707
20:21:24.297 > READ_CSV,20308,3,-1830.542,0,52.233700,0,0.030,4.707
20:21:24.307 > READ_CSV,20321,1,-2648.807,0,52.233700,138357,0.045,4.736
20:21:24.307 > READ_CSV,20321,2,-1012.278,0,52.233700,52875,0.045,4.736
20:21:24.307 > READ_CSV,20321,3,-1830.542,0,52.233700,0,0.045,4.736
20:21:24.322 > READ_CSV,20333,1,-2648.807,0,52.233700,138357,0.045,4.729
20:21:24.322 > READ_CSV,20333,2,-1012.278,0,52.233700,52875,0.045,4.729
20:21:24.322 > READ_CSV,20333,3,-1830.542,0,52.233700,0,0.045,4.729
20:21:24.336 > READ_CSV,20346,1,-2648.807,0,52.233700,138357,0.060,4.722
20:21:24.336 > READ_CSV,20346,2,-1012.278,0,52.233700,52875,0.060,4.722
20:21:24.336 > READ_CSV,20346,3,-1830.542,0,52.233700,0,0.060,4.722
20:21:24.348 > READ_CSV,20358,1,-2648.807,0,52.233700,138357,0.060,4.729
20:21:24.348 > READ_CSV,20358,2,-1012.278,0,52.233700,52875,0.060,4.729
20:21:24.348 > READ_CSV,20358,3,-1830.542,0,52.233700,0,0.060,4.729
20:21:24.354 > READ_CSV,20371,1,-2648.807,0,52.233700,138357,0.075,4.758
20:21:24.354 > READ_CSV,20371,2,-1012.278,0,52.233700,52875,0.075,4.758
20:21:24.354 > READ_CSV,20371,3,-1830.542,0,52.233700,0,0.075,4.758
20:21:24.371 > READ_CSV,20383,1,-2648.807,0,52.233700,138357,0.075,4.758
20:21:24.371 > READ_CSV,20383,2,-1012.278,0,52.233700,52875,0.075,4.758
20:21:24.371 > READ_CSV,20383,3,-1830.542,0,52.233700,0,0.075,4.758
20:21:24.380 > READ_CSV,20396,1,-2648.807,0,52.233700,138357,0.090,4.751
20:21:24.386 > READ_CSV,20396,2,-1012.278,0,52.233700,52875,0.090,4.751
20:21:24.386 > READ_CSV,20396,3,-1830.542,0,52.233700,0,0.090,4.751
20:21:24.396 > READ_CSV,20408,1,-2648.807,0,52.233700,138357,0.090,4.758
20:21:24.396 > READ_CSV,20408,2,-1012.278,0,52.233700,52875,0.090,4.758
20:21:24.396 > READ_CSV,20408,3,-1830.542,0,52.233700,0,0.090,4.758
20:21:24.404 > READ_CSV,20421,1,-2648.807,0,52.233700,138357,0.105,4.758
20:21:24.404 > READ_CSV,20421,2,-1012.278,0,52.233700,52875,0.105,4.758
20:21:24.404 > READ_CSV,20421,3,-1830.542,0,52.233700,0,0.105,4.758
20:21:24.420 > READ_CSV,20433,1,-2648.807,0,52.233700,138357,0.105,4.780
20:21:24.420 > READ_CSV,20433,2,-1012.278,0,52.233700,52875,0.105,4.780
20:21:24.420 > READ_CSV,20433,3,-1830.542,0,52.233700,0,0.105,4.780
20:21:24.430 > READ_CSV,20446,1,-2648.807,0,52.233700,138357,0.120,4.758
20:21:24.430 > READ_CSV,20446,2,-1012.278,0,52.233700,52875,0.120,4.758
20:21:24.430 > READ_CSV,20446,3,-1830.542,0,52.233700,0,0.120,4.758
20:21:24.447 > READ_CSV,20458,1,-2648.807,0,52.233700,138357,0.120,4.765
20:21:24.447 > READ_CSV,20458,2,-1012.278,0,52.233700,52875,0.120,4.765
20:21:24.447 > READ_CSV,20458,3,-1830.542,0,52.233700,0,0.120,4.765
20:21:24.454 > READ_CSV,20471,1,-2648.807,0,52.233700,138357,0.135,4.772
20:21:24.454 > READ_CSV,20471,2,-1012.278,0,52.233700,52875,0.135,4.772
20:21:24.454 > READ_CSV,20471,3,-1830.542,0,52.233700,0,0.135,4.772
20:21:24.472 > READ_CSV,20483,1,-2648.807,0,52.233700,138357,0.135,4.780
20:21:24.472 > READ_CSV,20483,2,-1012.278,0,52.233700,52875,0.135,4.780
20:21:24.472 > READ_CSV,20483,3,-1830.542,0,52.233700,0,0.135,4.780
20:21:24.485 > READ_CSV,20496,1,-2648.807,0,52.233700,138357,0.150,4.758
20:21:24.487 > READ_CSV,20496,2,-1012.278,0,52.233700,52875,0.150,4.758
20:21:24.487 > READ_CSV,20496,3,-1830.542,0,52.233700,0,0.150,4.758
20:21:24.495 > READ_CSV,20508,1,-2648.807,0,52.233700,138357,0.150,4.772
20:21:24.495 > READ_CSV,20508,2,-1012.278,0,52.233700,52875,0.150,4.772
20:21:24.495 > READ_CSV,20508,3,-1830.542,0,52.233700,0,0.150,4.772
20:21:24.503 > READ_CSV,20521,1,-2648.807,0,52.233700,138357,0.165,4.787
20:21:24.511 > READ_CSV,20521,2,-1012.278,0,52.233700,52875,0.165,4.787
20:21:24.511 > READ_CSV,20521,3,-1830.542,0,52.233700,0,0.165,4.787
20:21:24.521 > READ_CSV,20533,1,-2648.807,0,52.233700,138357,0.165,4.787
20:21:24.521 > READ_CSV,20533,2,-1012.278,0,52.233700,52875,0.165,4.787
20:21:24.521 > READ_CSV,20533,3,-1830.542,0,52.233700,0,0.165,4.787
20:21:24.534 > READ_CSV,20546,1,-2648.807,0,52.233700,138357,0.180,4.787
20:21:24.534 > READ_CSV,20546,2,-1012.278,0,52.233700,52875,0.180,4.787
20:21:24.534 > READ_CSV,20546,3,-1830.542,0,52.233700,0,0.180,4.787
20:21:24.547 > READ_CSV,20558,1,-2648.807,0,52.233700,138357,0.180,4.787
20:21:24.547 > READ_CSV,20558,2,-1012.278,0,52.233700,52875,0.180,4.787
20:21:24.547 > READ_CSV,20558,3,-1830.542,0,52.233700,0,0.180,4.787
20:21:24.556 > READ_CSV,20571,1,-2648.807,0,52.233700,138357,0.195,4.801
20:21:24.556 > READ_CSV,20571,2,-1012.278,0,52.233700,52875,0.195,4.801
20:21:24.556 > READ_CSV,20571,3,-1830.542,0,52.233700,0,0.195,4.801
20:21:24.572 > READ_CSV,20583,1,-2648.807,0,52.233700,138357,0.195,4.794
20:21:24.572 > READ_CSV,20583,2,-1012.278,0,52.233700,52875,0.195,4.794
20:21:24.572 > READ_CSV,20583,3,-1830.542,0,52.233700,0,0.195,4.794
20:21:24.583 > [char] At 0.40, ramping down
20:21:24.586 > READ_CSV,20596,1,-2648.807,0,52.233700,138357,0.200,4.780
20:21:24.586 > READ_CSV,20596,2,-1012.278,0,52.233700,52875,0.200,4.780
20:21:24.586 > READ_CSV,20596,3,-1830.542,0,52.233700,0,0.200,4.780
20:21:24.598 > READ_CSV,20608,1,-2648.807,0,52.233700,138357,0.200,4.801
20:21:24.598 > READ_CSV,20608,2,-1012.278,0,52.233700,52875,0.200,4.801
20:21:24.598 > READ_CSV,20608,3,-1830.542,0,52.233700,0,0.200,4.801
20:21:24.611 > READ_CSV,20621,1,-2648.807,0,52.233700,138357,0.200,4.823
