20:37:36.679 > Starting HX711 dual-example (Teensy + Adafruit HX711)
20:37:36.679 > Scale 1 is busy...
20:37:36.679 > Scale 2 is busy...
20:37:36.688 > Scale 1 is busy...
20:37:36.688 > Scale 2 is busy...
20:37:36.705 > Scale 1 is busy...
20:37:36.705 > Scale 2 is busy...
20:37:36.713 > Scale 1 is busy...
20:37:36.713 > Scale 2 is busy...
20:37:36.725 > Scale 1 is busy...
20:37:36.725 > Scale 2 is busy...
20:37:36.730 > Scale 1 is busy...
20:37:36.730 > Scale 2 is busy...
20:37:36.739 > Scale 1 is busy...
20:37:36.739 > Scale 2 is busy...
20:37:36.763 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle,battery_voltage
20:37:36.763 > Calibrating both scales together:
20:37:40.282 > Tare1 raw = 134684
20:37:40.282 > Tare2 raw = 57160
20:37:40.282 > 
20:37:40.282 > Calibration complete. Readings follow...
20:38:53.533 > [char] Starting throttle ramp to 0.40 then back to 0
20:38:53.533 > READ_CSV,83742,1,-2578.489,0,52.233700,134684,0.000,4.011
20:38:53.533 > READ_CSV,83742,2,-1094.313,0,52.233700,57160,0.000,4.011
20:38:53.533 > READ_CSV,83742,3,-1836.401,0,52.233700,0,0.000,4.011
20:38:53.548 > READ_CSV,83754,1,-2578.489,0,52.233700,134684,0.000,4.765
20:38:53.548 > READ_CSV,83754,2,-1094.313,0,52.233700,57160,0.000,4.765
20:38:53.548 > READ_CSV,83754,3,-1836.401,0,52.233700,0,0.000,4.765
20:38:53.559 > READ_CSV,83767,1,-2578.489,0,52.233700,134684,0.001,4.888
20:38:53.559 > READ_CSV,83767,2,-1094.313,0,52.233700,57160,0.001,4.888
20:38:53.559 > READ_CSV,83767,3,-1836.401,0,52.233700,0,0.001,4.888
20:38:53.573 > READ_CSV,83779,1,-2578.489,0,52.233700,134684,0.001,4.983
20:38:53.573 > READ_CSV,83779,2,-1094.313,0,52.233700,57160,0.001,4.983
20:38:53.573 > READ_CSV,83779,3,-1836.401,0,52.233700,0,0.001,4.983
20:38:53.581 > READ_CSV,83792,1,-2578.489,0,52.233700,134684,0.002,5.019
20:38:53.581 > READ_CSV,83792,2,-1094.313,0,52.233700,57160,0.002,5.019
20:38:53.581 > READ_CSV,83792,3,-1836.401,0,52.233700,0,0.002,5.019
20:38:53.597 > READ_CSV,83804,1,-2578.489,0,52.233700,134684,0.002,5.062
20:38:53.597 > READ_CSV,83804,2,-1094.313,0,52.233700,57160,0.002,5.062
20:38:53.597 > READ_CSV,83804,3,-1836.401,0,52.233700,0,0.002,5.062
20:38:53.606 > READ_CSV,83817,1,-2578.489,0,52.233700,134684,0.003,5.055
20:38:53.606 > READ_CSV,83817,2,-1094.313,0,52.233700,57160,0.003,5.055
20:38:53.606 > READ_CSV,83817,3,-1836.401,0,52.233700,0,0.003,5.055
20:38:53.623 > READ_CSV,83829,1,-2578.489,0,52.233700,134684,0.003,5.077
20:38:53.624 > READ_CSV,83829,2,-1094.313,0,52.233700,57160,0.003,5.077
20:38:53.624 > READ_CSV,83829,3,-1836.401,0,52.233700,0,0.003,5.077
20:38:53.632 > READ_CSV,83842,1,-2578.489,0,52.233700,134684,0.004,5.091
20:38:53.632 > READ_CSV,83842,2,-1094.313,0,52.233700,57160,0.004,5.091
20:38:53.632 > READ_CSV,83842,3,-1836.401,0,52.233700,0,0.004,5.091
20:38:53.648 > READ_CSV,83854,1,-2578.489,0,52.233700,134684,0.004,5.106
20:38:53.648 > READ_CSV,83854,2,-1094.313,0,52.233700,57160,0.004,5.106
20:38:53.648 > READ_CSV,83854,3,-1836.401,0,52.233700,0,0.004,5.106
20:38:53.657 > READ_CSV,83867,1,-2578.489,0,52.233700,134684,0.005,5.120
20:38:53.662 > READ_CSV,83867,2,-1094.313,0,52.233700,57160,0.005,5.120
20:38:53.662 > READ_CSV,83867,3,-1836.401,0,52.233700,0,0.005,5.120
20:38:53.673 > READ_CSV,83879,1,-2578.489,0,52.233700,134684,0.005,5.128
20:38:53.674 > READ_CSV,83879,2,-1094.313,0,52.233700,57160,0.005,5.128
20:38:53.674 > READ_CSV,83879,3,-1836.401,0,52.233700,0,0.005,5.128
20:38:53.685 > READ_CSV,83892,1,-2578.489,0,52.233700,134684,0.006,5.135
20:38:53.687 > READ_CSV,83892,2,-1094.313,0,52.233700,57160,0.006,5.135
