source_file,clock_time,time_ms,loadcell,grams,raw,scale,tare,throttle,battery_voltage
100-test-1.log,00:32:48.239,15629,2,0.366,128374,51.957458,128355,0.01,0.46
100-test-1.log,00:32:48.239,15629,3,0.087,0,51.957458,0,0.01,0.46
100-test-1.log,00:32:48.253,15643,1,0.635,-34630,51.957458,-34663,0.01,0.46
100-test-1.log,00:32:48.253,15643,2,-2.098,128246,51.957458,128355,0.01,0.46
100-test-1.log,00:32:48.253,15643,3,-0.731,0,51.957458,0,0.01,0.46
100-test-1.log,00:32:48.266,15656,1,2.04,-34557,51.957458,-34663,0.01,0.46
100-test-1.log,00:32:48.266,15656,2,-6.39,128023,51.957458,128355,0.01,0.46
100-test-1.log,00:32:48.266,15656,3,-2.175,0,51.957458,0,0.01,0.46
100-test-1.log,00:32:48.279,15669,1,-0.231,-34675,51.957458,-34663,0.01,0.46
100-test-1.log,00:32:48.279,15669,2,-5.505,128069,51.957458,128355,0.01,0.46
100-test-1.log,00:32:48.279,15669,3,-2.868,0,51.957458,0,0.01,0.46
100-test-1.log,00:32:48.293,15682,1,3.811,-34465,51.957458,-34663,0.01,0.46
100-test-1.log,00:32:48.293,15682,2,-3.33,128182,51.957458,128355,0.01,0.46
100-test-1.log,00:32:48.293,15682,3,0.241,0,51.957458,0,0.01,0.46
100-test-1.log,00:32:48.306,15695,1,2.675,-34524,51.957458,-34663,0.01,0.46
100-test-1.log,00:32:48.306,15695,2,0.481,128380,51.957458,128355,0.01,0.46
100-test-1.log,00:32:48.306,15695,3,1.578,0,51.957458,0,0.01,0.46
100-test-1.log,00:32:48.319,15709,1,-2.04,-34769,51.957458,-34663,0.01,0.46
100-test-1.log,00:32:48.319,15709,2,1.213,128418,51.957458,128355,0.01,0.46
100-test-1.log,00:32:48.319,15709,3,-0.414,0,51.957458,0,0.01,0.46
100-test-1.log,00:32:48.332,15722,1,1.751,-34572,51.957458,-34663,0.01,0.46
100-test-1.log,00:32:48.332,15722,2,0.751,128394,51.957458,128355,0.01,0.46
100-test-1.log,00:32:48.332,15722,3,1.251,0,51.957458,0,0.01,0.46
100-test-1.log,00:32:48.345,15735,1,4.157,-34447,51.957458,-34663,0.01,0.46
100-test-1.log,00:32:48.345,15735,2,-0.192,128345,51.957458,128355,0.01,0.46
100-test-1.log,00:32:48.345,15735,3,1.982,0,51.957458,0,0.01,0.46
100-test-1.log,00:32:48.358,15748,1,0.404,-34642,51.957458,-34663,0.01,0.46
100-test-1.log,00:32:48.358,15748,2,0.539,128383,51.957458,128355,0.01,0.46
