21:11:44.544 > [char] Starting throttle ramp to 0.40 then back to 0
21:11:44.546 > READ_CSV,2428921,1,73.880,156226,52.233700,152367,0.000
21:11:44.546 > READ_CSV,2428921,2,106.368,43325,52.233700,37769,0.000
21:11:44.546 > READ_CSV,2428921,3,90.124,0,52.233700,0,0.000
21:11:44.546 > READ_CSV,2428934,1,76.464,156361,52.233700,152367,0.000
21:11:44.546 > READ_CSV,2428934,2,106.483,43331,52.233700,37769,0.000
21:11:44.546 > READ_CSV,2428934,3,91.474,0,52.233700,0,0.000
21:11:44.571 > READ_CSV,2428946,1,75.717,156322,52.233700,152367,0.001
21:11:44.571 > READ_CSV,2428946,2,105.813,43296,52.233700,37769,0.001
21:11:44.571 > READ_CSV,2428946,3,90.765,0,52.233700,0,0.001
21:11:44.583 > READ_CSV,2428959,1,74.932,156281,52.233700,152367,0.001
21:11:44.583 > READ_CSV,2428959,2,105.583,43284,52.233700,37769,0.001
21:11:44.583 > READ_CSV,2428959,3,90.258,0,52.233700,0,0.001
21:11:44.595 > READ_CSV,2428971,1,73.171,156189,52.233700,152367,0.002
21:11:44.595 > READ_CSV,2428971,2,105.794,43295,52.233700,37769,0.002
21:11:44.595 > READ_CSV,2428971,3,89.482,0,52.233700,0,0.002
21:11:44.608 > READ_CSV,2428984,1,71.142,156083,52.233700,152367,0.002
21:11:44.609 > READ_CSV,2428984,2,107.804,43400,52.233700,37769,0.002
21:11:44.609 > READ_CSV,2428984,3,89.473,0,52.233700,0,0.002
21:11:44.619 > READ_CSV,2428996,1,70.299,156039,52.233700,152367,0.003
21:11:44.619 > READ_CSV,2428996,2,110.618,43547,52.233700,37769,0.003
21:11:44.619 > READ_CSV,2428996,3,90.459,0,52.233700,0,0.003
21:11:44.630 > READ_CSV,2429009,1,67.983,155918,52.233700,152367,0.003
21:11:44.634 > READ_CSV,2429009,2,107.421,43380,52.233700,37769,0.003
21:11:44.634 > READ_CSV,2429009,3,87.702,0,52.233700,0,0.003
21:11:44.645 > READ_CSV,2429021,1,71.525,156103,52.233700,152367,0.004
21:11:44.646 > READ_CSV,2429021,2,103.535,43177,52.233700,37769,0.004
21:11:44.646 > READ_CSV,2429021,3,87.530,0,52.233700,0,0.004
21:11:44.659 > READ_CSV,2429034,1,73.114,156186,52.233700,152367,0.004
21:11:44.659 > READ_CSV,2429034,2,106.770,43346,52.233700,37769,0.004
21:11:44.659 > READ_CSV,2429034,3,89.942,0,52.233700,0,0.004
21:11:44.671 > READ_CSV,2429046,1,72.922,156176,52.233700,152367,0.005
21:11:44.671 > READ_CSV,2429046,2,109.661,43497,52.233700,37769,0.005
